"","cod_muni","muni","empregos_energia","class_empregos_energia","empregos_petroleo","class_empregos_petroleo","empregos_mineracao","class_empregos_mineracao","empregos_agro","class_empregos_agro"
"1",5103403,"Cuiabá (MT)",2906,"Muito Alto",0,0,586,"Muito Alto",3956,"Muito Alto"
"2",1100205,"Porto Velho (RO)",2534,"Muito Alto",0,0,183,"Muito Alto",1150,"Muito Alto"
"3",1302603,"Manaus (AM)",2485,"Muito Alto",123,"Médio Alto",507,"Muito Alto",1155,"Muito Alto"
"4",1501402,"Belém (PA)",1297,"Muito Alto",5,"Baixo",51,"Muito Alto",1026,"Muito Alto"
"5",2111300,"São Luís (MA)",1227,"Muito Alto",8,"Médio Baixo",522,"Muito Alto",155,"Médio Alto"
"6",1600303,"Macapá (AP)",676,"Muito Alto",0,0,40,"Médio Alto",397,"Muito Alto"
"7",1721000,"Palmas (TO)",664,"Muito Alto",0,0,103,"Muito Alto",267,"Médio Alto"
"8",1400100,"Boa Vista (RR)",656,"Muito Alto",0,0,36,"Médio Alto",483,"Muito Alto"
"9",1200401,"Rio Branco (AC)",469,"Muito Alto",0,0,30,"Médio Alto",1147,"Muito Alto"
"10",1508100,"Tucuruí (PA)",438,"Muito Alto",0,0,2,"Baixo",166,"Médio Alto"
"11",1500602,"Altamira (PA)",380,"Muito Alto",0,0,32,"Médio Alto",450,"Muito Alto"
"12",1100189,"Pimenta Bueno (RO)",210,"Muito Alto",0,0,35,"Médio Alto",603,"Muito Alto"
"13",2110302,"Santo Antônio dos Lopes (MA)",178,"Muito Alto",119,"Médio Baixo",12,"Médio Baixo",7,"Muito Baixo"
"14",1702109,"Araguaína (TO)",175,"Muito Alto",0,0,8,"Médio Baixo",1268,"Muito Alto"
"15",1504208,"Marabá (PA)",156,"Muito Alto",0,0,2980,"Muito Alto",1130,"Muito Alto"
"16",5101407,"Aripuanã (MT)",138,"Muito Alto",0,0,25,"Médio Alto",572,"Muito Alto"
"17",2105302,"Imperatriz (MA)",136,"Muito Alto",0,0,13,"Médio Baixo",590,"Muito Alto"
"18",1506807,"Santarém (PA)",122,"Muito Alto",0,0,17,"Médio Baixo",851,"Muito Alto"
"19",1709500,"Gurupi (TO)",108,"Muito Alto",0,0,0,0,381,"Muito Alto"
"20",5107602,"Rondonópolis (MT)",98,"Muito Alto",0,0,62,"Muito Alto",2668,"Muito Alto"
"21",1301902,"Itacoatiara (AM)",90,"Muito Alto",0,0,0,0,183,"Médio Alto"
"22",1502400,"Castanhal (PA)",86,"Muito Alto",0,0,0,0,643,"Muito Alto"
"23",1100015,"Alta Floresta D'Oeste (RO)",80,"Muito Alto",0,0,2,"Baixo",360,"Médio Alto"
"24",2106755,"Miranda do Norte (MA)",80,"Muito Alto",0,0,0,0,61,"Médio Baixo"
"25",1600238,"Ferreira Gomes (AP)",74,"Muito Alto",0,0,44,"Médio Alto",2,"Muito Baixo"
"26",1200203,"Cruzeiro do Sul (AC)",73,"Muito Alto",0,0,6,"Médio Baixo",90,"Médio Baixo"
"27",1713205,"Miracema do Tocantins (TO)",72,"Muito Alto",0,0,0,0,205,"Médio Alto"
"28",1716109,"Paraíso do Tocantins (TO)",68,"Muito Alto",0,0,0,0,276,"Médio Alto"
"29",5107909,"Sinop (MT)",68,"Muito Alto",0,0,36,"Médio Alto",1485,"Muito Alto"
"30",1501303,"Barcarena (PA)",60,"Muito Alto",0,0,330,"Muito Alto",18,"Baixo"
"31",5104609,"Itiquira (MT)",59,"Muito Alto",0,0,16,"Médio Baixo",2119,"Muito Alto"
"32",2101202,"Bacabal (MA)",58,"Muito Alto",0,0,0,0,315,"Médio Alto"
"33",1303536,"Presidente Figueiredo (AM)",55,"Muito Alto",0,0,1097,"Muito Alto",888,"Muito Alto"
"34",5103205,"Colíder (MT)",55,"Muito Alto",0,0,1,"Muito Baixo",452,"Muito Alto"
"35",2109106,"Presidente Dutra (MA)",54,"Muito Alto",0,0,0,0,42,"Médio Baixo"
"36",5107958,"Tangará da Serra (MT)",52,"Muito Alto",0,0,149,"Muito Alto",2258,"Muito Alto"
"37",1503754,"Jacareacanga (PA)",50,"Muito Alto",0,0,3,"Baixo",60,"Médio Baixo"
"38",1715259,"Novo Jardim (TO)",50,"Muito Alto",0,0,0,0,25,"Baixo"
"39",2108603,"Pinheiro (MA)",47,"Muito Alto",0,0,0,0,19,"Baixo"
"40",1718204,"Porto Nacional (TO)",45,"Muito Alto",0,0,16,"Médio Baixo",984,"Muito Alto"
"41",1707009,"Dianópolis (TO)",44,"Muito Alto",0,0,8,"Médio Baixo",434,"Muito Alto"
"42",5102637,"Campo Novo do Parecis (MT)",44,"Muito Alto",0,0,16,"Médio Baixo",5116,"Muito Alto"
"43",1100304,"Vilhena (RO)",43,"Muito Alto",0,0,24,"Médio Alto",1325,"Muito Alto"
"44",1302504,"Manacapuru (AM)",43,"Muito Alto",0,0,0,0,95,"Médio Baixo"
"45",5107875,"Sapezal (MT)",43,"Muito Alto",0,0,7,"Médio Baixo",6498,"Muito Alto"
"46",1716604,"Peixe (TO)",42,"Muito Alto",0,0,55,"Muito Alto",418,"Muito Alto"
"47",2100055,"Açailândia (MA)",42,"Muito Alto",0,0,0,0,2918,"Muito Alto"
"48",5102686,"Campos de Júlio (MT)",41,"Muito Alto",0,0,0,0,2064,"Muito Alto"
"49",1709302,"Guaraí (TO)",40,"Muito Alto",0,0,1,"Muito Baixo",207,"Médio Alto"
"50",1303403,"Parintins (AM)",39,"Muito Alto",0,0,0,0,0,0
"51",1301209,"Coari (AM)",38,"Muito Alto",340,"Muito Alto",3,"Baixo",4,"Muito Baixo"
"52",1707702,"Filadélfia (TO)",38,"Muito Alto",0,0,18,"Médio Alto",104,"Médio Baixo"
"53",5105200,"Juscimeira (MT)",36,"Muito Alto",0,0,0,0,551,"Muito Alto"
"54",5108857,"Nova Marilândia (MT)",36,"Muito Alto",0,0,0,0,210,"Médio Alto"
"55",1600600,"Santana (AP)",34,"Muito Alto",0,0,0,0,4,"Muito Baixo"
"56",1705508,"Colinas do Tocantins (TO)",33,"Muito Alto",0,0,0,0,234,"Médio Alto"
"57",1300300,"Autazes (AM)",32,"Muito Alto",0,0,0,0,10,"Baixo"
"58",5104104,"Guarantã do Norte (MT)",32,"Muito Alto",0,0,32,"Médio Alto",274,"Médio Alto"
"59",1101450,"Parecis (RO)",31,"Muito Alto",0,0,0,0,322,"Médio Alto"
"60",2104057,"Estreito (MA)",30,"Muito Alto",0,0,6,"Médio Baixo",337,"Médio Alto"
"61",5103304,"Comodoro (MT)",30,"Muito Alto",0,0,1,"Muito Baixo",1017,"Muito Alto"
"62",5106299,"Paranaíta (MT)",30,"Muito Alto",0,0,1,"Muito Baixo",503,"Muito Alto"
"63",1100122,"Ji-Paraná (RO)",28,"Muito Alto",0,0,72,"Muito Alto",596,"Muito Alto"
"64",1304203,"Tefé (AM)",28,"Muito Alto",0,0,0,0,1,"Muito Baixo"
"65",1300805,"Borba (AM)",27,"Muito Alto",0,0,0,0,0,0
"66",5105002,"Jauru (MT)",27,"Muito Alto",0,0,0,0,201,"Médio Alto"
"67",5107800,"Santo Antônio do Leverger (MT)",25,"Muito Alto",0,0,78,"Muito Alto",1414,"Muito Alto"
"68",1702554,"Augustinópolis (TO)",23,"Muito Alto",0,0,0,0,65,"Médio Baixo"
"69",5103254,"Colniza (MT)",23,"Muito Alto",0,0,10,"Médio Baixo",516,"Muito Alto"
"70",5104807,"Jaciara (MT)",23,"Muito Alto",0,0,0,0,630,"Muito Alto"
"71",1100924,"Chupinguaia (RO)",22,"Muito Alto",0,0,0,0,880,"Muito Alto"
"72",1303106,"Nova Olinda do Norte (AM)",21,"Muito Alto",0,0,2,"Baixo",0,0
"73",1304062,"Tabatinga (AM)",21,"Muito Alto",0,0,0,0,0,0
"74",1505536,"Parauapebas (PA)",20,"Muito Alto",0,0,7680,"Muito Alto",289,"Médio Alto"
"75",1721208,"Tocantinópolis (TO)",20,"Muito Alto",0,0,3,"Baixo",118,"Médio Baixo"
"76",1301704,"Humaitá (AM)",19,"Muito Alto",0,0,0,0,29,"Baixo"
"77",5100250,"Alta Floresta (MT)",19,"Muito Alto",0,0,31,"Médio Alto",1351,"Muito Alto"
"78",1303809,"São Gabriel da Cachoeira (AM)",18,"Médio Alto",0,0,0,0,1,"Muito Baixo"
"79",1503606,"Itaituba (PA)",18,"Médio Alto",0,0,586,"Muito Alto",143,"Médio Alto"
"80",1507409,"São Francisco do Pará (PA)",18,"Médio Alto",0,0,0,0,202,"Médio Alto"
"81",1100379,"Alto Alegre dos Parecis (RO)",17,"Médio Alto",0,0,0,0,120,"Médio Baixo"
"82",1506138,"Redenção (PA)",17,"Médio Alto",0,0,13,"Médio Baixo",736,"Muito Alto"
"83",5106182,"Nova Lacerda (MT)",17,"Médio Alto",0,0,97,"Muito Alto",419,"Muito Alto"
"84",5107305,"São José do Rio Claro (MT)",17,"Médio Alto",0,0,0,0,1043,"Muito Alto"
"85",1300706,"Boca do Acre (AM)",16,"Médio Alto",0,0,0,0,371,"Médio Alto"
"86",1505502,"Paragominas (PA)",16,"Médio Alto",0,0,1548,"Muito Alto",2955,"Muito Alto"
"87",1506708,"Santana do Araguaia (PA)",16,"Médio Alto",0,0,9,"Médio Baixo",1358,"Muito Alto"
"88",1100064,"Colorado do Oeste (RO)",15,"Médio Alto",0,0,0,0,178,"Médio Alto"
"89",1500107,"Abaetetuba (PA)",15,"Médio Alto",0,0,10,"Médio Baixo",246,"Médio Alto"
"90",1301001,"Carauari (AM)",14,"Médio Alto",0,0,0,0,10,"Baixo"
"91",1302900,"Maués (AM)",14,"Médio Alto",0,0,0,0,16,"Baixo"
"92",1502202,"Capanema (PA)",14,"Médio Alto",0,0,2,"Baixo",233,"Médio Alto"
"93",1505304,"Oriximiná (PA)",14,"Médio Alto",0,0,1504,"Muito Alto",56,"Médio Baixo"
"94",2101400,"Balsas (MA)",14,"Médio Alto",0,0,20,"Médio Alto",2828,"Muito Alto"
"95",5106265,"Novo Mundo (MT)",14,"Médio Alto",0,0,0,0,398,"Muito Alto"
"96",1300508,"Barreirinha (AM)",13,"Médio Alto",0,0,0,0,0,0
"97",1302108,"Japurá (AM)",13,"Médio Alto",0,0,0,0,0,0
"98",1302702,"Manicoré (AM)",13,"Médio Alto",0,0,0,0,41,"Médio Baixo"
"99",1500701,"Anajás (PA)",13,"Médio Alto",0,0,0,0,0,0
"100",1700707,"Alvorada (TO)",13,"Médio Alto",0,0,0,0,146,"Médio Alto"
"101",1716208,"Paranã (TO)",13,"Médio Alto",0,0,0,0,116,"Médio Baixo"
"102",2109908,"Santa Inês (MA)",13,"Médio Alto",0,0,0,0,184,"Médio Alto"
"103",5103007,"Chapada dos Guimarães (MT)",13,"Médio Alto",0,0,0,0,772,"Muito Alto"
"104",5107792,"Santo Antônio do Leste (MT)",13,"Médio Alto",0,0,0,0,1045,"Muito Alto"
"105",1100148,"Nova Brasilândia D'Oeste (RO)",12,"Médio Alto",0,0,57,"Muito Alto",66,"Médio Baixo"
"106",1301407,"Eirunepé (AM)",12,"Médio Alto",0,0,0,0,0,0
"107",1303205,"Novo Airão (AM)",12,"Médio Alto",0,0,0,0,0,0
"108",1304401,"Urucurituba (AM)",12,"Médio Alto",0,0,0,0,0,0
"109",1702208,"Araguatins (TO)",12,"Médio Alto",0,0,29,"Médio Alto",215,"Médio Alto"
"110",1716703,"Colméia (TO)",12,"Médio Alto",0,0,0,0,78,"Médio Baixo"
"111",2109007,"Porto Franco (MA)",12,"Médio Alto",0,0,42,"Médio Alto",197,"Médio Alto"
"112",5107925,"Sorriso (MT)",12,"Médio Alto",0,0,47,"Médio Alto",3957,"Muito Alto"
"113",1301852,"Iranduba (AM)",11,"Médio Alto",0,0,0,0,156,"Médio Alto"
"114",1302405,"Lábrea (AM)",11,"Médio Alto",0,0,0,0,108,"Médio Baixo"
"115",1303569,"Rio Preto da Eva (AM)",11,"Médio Alto",0,0,0,0,170,"Médio Alto"
"116",1707108,"Divinópolis do Tocantins (TO)",11,"Médio Alto",0,0,1,"Muito Baixo",205,"Médio Alto"
"117",1716505,"Pedro Afonso (TO)",11,"Médio Alto",0,0,1,"Muito Baixo",199,"Médio Alto"
"118",1720903,"Taguatinga (TO)",11,"Médio Alto",0,0,54,"Muito Alto",102,"Médio Baixo"
"119",5101258,"Araputanga (MT)",11,"Médio Alto",0,0,0,0,454,"Muito Alto"
"120",5106752,"Pontes e Lacerda (MT)",11,"Médio Alto",0,0,308,"Muito Alto",1282,"Muito Alto"
"121",1300607,"Benjamin Constant (AM)",10,"Médio Alto",0,0,0,0,0,0
"122",1300680,"Boa Vista do Ramos (AM)",10,"Médio Alto",0,0,0,0,0,0
"123",1301100,"Careiro (AM)",10,"Médio Alto",0,0,0,0,4,"Muito Baixo"
"124",1302553,"Manaquiri (AM)",10,"Médio Alto",0,0,0,0,0,0
"125",1502509,"Chaves (PA)",10,"Médio Alto",0,0,0,0,153,"Médio Alto"
"126",1702307,"Arapoema (TO)",10,"Médio Alto",0,0,0,0,338,"Médio Alto"
"127",1715754,"Palmeirópolis (TO)",10,"Médio Alto",0,0,10,"Médio Baixo",128,"Médio Alto"
"128",5103502,"Diamantino (MT)",10,"Médio Alto",0,0,22,"Médio Alto",3327,"Muito Alto"
"129",5106281,"Novo São Joaquim (MT)",10,"Médio Alto",0,0,0,0,914,"Muito Alto"
"130",5108907,"Nova Maringá (MT)",10,"Médio Alto",0,0,0,0,752,"Muito Alto"
"131",1303700,"Santo Antônio do Içá (AM)",9,"Médio Alto",0,0,0,0,0,0
"132",1303908,"São Paulo de Olivença (AM)",9,"Médio Alto",0,0,0,0,0,0
"133",1304302,"Urucará (AM)",9,"Médio Alto",0,0,5,"Baixo",4,"Muito Baixo"
"134",1501006,"Aveiro (PA)",9,"Médio Alto",0,0,15,"Médio Baixo",41,"Médio Baixo"
"135",1506401,"Santa Cruz do Arari (PA)",9,"Médio Alto",0,0,0,0,18,"Baixo"
"136",1702000,"Araguaçu (TO)",9,"Médio Alto",0,0,0,0,573,"Muito Alto"
"137",1702406,"Arraias (TO)",9,"Médio Alto",0,0,25,"Médio Alto",160,"Médio Alto"
"138",1709005,"Goiatins (TO)",9,"Médio Alto",0,0,0,0,196,"Médio Alto"
"139",1710508,"Itacajá (TO)",9,"Médio Alto",0,0,0,0,62,"Médio Baixo"
"140",1711902,"Lagoa da Confusão (TO)",9,"Médio Alto",0,0,26,"Médio Alto",800,"Muito Alto"
"141",1713304,"Miranorte (TO)",9,"Médio Alto",0,0,0,0,216,"Médio Alto"
"142",1714880,"Nova Olinda (TO)",9,"Médio Alto",0,0,0,0,90,"Médio Baixo"
"143",1718865,"Santa Fé do Araguaia (TO)",9,"Médio Alto",0,0,0,0,315,"Médio Alto"
"144",1722107,"Xambioá (TO)",9,"Médio Alto",0,0,58,"Muito Alto",244,"Médio Alto"
"145",5101902,"Brasnorte (MT)",9,"Médio Alto",6,"Baixo",0,0,1744,"Muito Alto"
"146",1300029,"Alvarães (AM)",8,"Médio Baixo",0,0,0,0,1,"Muito Baixo"
"147",1300201,"Atalaia do Norte (AM)",8,"Médio Baixo",0,0,0,0,0,0
"148",1300409,"Barcelos (AM)",8,"Médio Baixo",0,0,5,"Baixo",0,0
"149",1300631,"Beruri (AM)",8,"Médio Baixo",0,0,0,0,0,0
"150",1301159,"Careiro da Várzea (AM)",8,"Médio Baixo",0,0,0,0,0,0
"151",1303304,"Novo Aripuanã (AM)",8,"Médio Baixo",0,0,0,0,3,"Muito Baixo"
"152",1303502,"Pauini (AM)",8,"Médio Baixo",0,0,0,0,0,0
"153",1701002,"Ananás (TO)",8,"Médio Baixo",0,0,0,0,222,"Médio Alto"
"154",1706100,"Cristalândia (TO)",8,"Médio Baixo",0,0,0,0,205,"Médio Alto"
"155",1707207,"Dois Irmãos do Tocantins (TO)",8,"Médio Baixo",0,0,0,0,203,"Médio Alto"
"156",1714203,"Natividade (TO)",8,"Médio Baixo",0,0,155,"Muito Alto",134,"Médio Alto"
"157",1717909,"Ponte Alta do Tocantins (TO)",8,"Médio Baixo",0,0,0,0,74,"Médio Baixo"
"158",5102603,"Campinápolis (MT)",8,"Médio Baixo",0,0,0,0,363,"Médio Alto"
"159",5106000,"Nortelândia (MT)",8,"Médio Baixo",0,0,0,0,266,"Médio Alto"
"160",1301308,"Codajás (AM)",7,"Médio Baixo",0,0,0,0,0,0
"161",1301803,"Ipixuna (AM)",7,"Médio Baixo",0,0,0,0,1,"Muito Baixo"
"162",1303007,"Nhamundá (AM)",7,"Médio Baixo",0,0,0,0,0,0
"163",1303601,"Santa Isabel do Rio Negro (AM)",7,"Médio Baixo",0,0,0,0,0,0
"164",1304005,"Silves (AM)",7,"Médio Baixo",0,0,0,0,0,0
"165",1304260,"Uarini (AM)",7,"Médio Baixo",0,0,0,0,0,0
"166",1508407,"Xinguara (PA)",7,"Médio Baixo",0,0,44,"Médio Alto",1151,"Muito Alto"
"167",1600279,"Laranjal do Jari (AP)",7,"Médio Baixo",0,0,0,0,2,"Muito Baixo"
"168",1700400,"Almas (TO)",7,"Médio Baixo",0,0,8,"Médio Baixo",148,"Médio Alto"
"169",1718402,"Presidente Kennedy (TO)",7,"Médio Baixo",0,0,0,0,44,"Médio Baixo"
"170",1718907,"Santa Rosa do Tocantins (TO)",7,"Médio Baixo",0,0,0,0,162,"Médio Alto"
"171",1722081,"Wanderlândia (TO)",7,"Médio Baixo",0,0,2,"Baixo",157,"Médio Alto"
"172",2102606,"Cândido Mendes (MA)",7,"Médio Baixo",0,0,0,0,2,"Muito Baixo"
"173",2103000,"Caxias (MA)",7,"Médio Baixo",0,0,25,"Médio Alto",268,"Médio Alto"
"174",2105401,"Itapecuru Mirim (MA)",7,"Médio Baixo",0,0,2,"Baixo",35,"Médio Baixo"
"175",5100607,"Alto Taquari (MT)",7,"Médio Baixo",0,0,1,"Muito Baixo",587,"Muito Alto"
"176",5105259,"Lucas do Rio Verde (MT)",7,"Médio Baixo",0,0,18,"Médio Alto",2537,"Muito Alto"
"177",1300904,"Canutama (AM)",6,"Médio Baixo",0,0,0,0,26,"Baixo"
"178",1302207,"Juruá (AM)",6,"Médio Baixo",0,0,0,0,0,0
"179",1302306,"Jutaí (AM)",6,"Médio Baixo",0,0,0,0,0,0
"180",1302801,"Maraã (AM)",6,"Médio Baixo",0,0,0,0,0,0
"181",1304237,"Tonantins (AM)",6,"Médio Baixo",0,0,0,0,0,0
"182",1701101,"Aparecida do Rio Negro (TO)",6,"Médio Baixo",0,0,0,0,155,"Médio Alto"
"183",1701903,"Araguacema (TO)",6,"Médio Baixo",0,0,0,0,175,"Médio Alto"
"184",1703107,"Barrolândia (TO)",6,"Médio Baixo",0,0,0,0,77,"Médio Baixo"
"185",1703909,"Caseara (TO)",6,"Médio Baixo",0,0,0,0,358,"Médio Alto"
"186",1705557,"Combinado (TO)",6,"Médio Baixo",0,0,0,0,11,"Baixo"
"187",1707306,"Dueré (TO)",6,"Médio Baixo",0,0,5,"Baixo",306,"Médio Alto"
"188",1707405,"Esperantina (TO)",6,"Médio Baixo",0,0,0,0,15,"Baixo"
"189",1708205,"Formoso do Araguaia (TO)",6,"Médio Baixo",0,0,43,"Médio Alto",865,"Muito Alto"
"190",1712504,"Marianópolis do Tocantins (TO)",6,"Médio Baixo",0,0,0,0,364,"Médio Alto"
"191",1713601,"Monte do Carmo (TO)",6,"Médio Baixo",0,0,0,0,185,"Médio Alto"
"192",1717503,"Pium (TO)",6,"Médio Baixo",0,0,0,0,404,"Muito Alto"
"193",1720150,"São Félix do Tocantins (TO)",6,"Médio Baixo",0,0,0,0,3,"Muito Baixo"
"194",1720655,"Silvanópolis (TO)",6,"Médio Baixo",0,0,0,0,122,"Médio Baixo"
"195",1721109,"Tocantínia (TO)",6,"Médio Baixo",0,0,0,0,61,"Médio Baixo"
"196",2104800,"Grajaú (MA)",6,"Médio Baixo",0,0,87,"Muito Alto",1128,"Muito Alto"
"197",5103361,"Conquista D'Oeste (MT)",6,"Médio Baixo",0,0,0,0,200,"Médio Alto"
"198",5106224,"Nova Mutum (MT)",6,"Médio Baixo",0,0,10,"Médio Baixo",3422,"Muito Alto"
"199",5106240,"Nova Ubiratã (MT)",6,"Médio Baixo",0,0,0,0,1929,"Muito Alto"
"200",1300144,"Apuí (AM)",5,"Médio Baixo",0,0,1,"Muito Baixo",7,"Muito Baixo"
"201",1301605,"Fonte Boa (AM)",5,"Médio Baixo",0,0,0,0,0,0
"202",1301951,"Itamarati (AM)",5,"Médio Baixo",0,0,0,0,0,0
"203",1302009,"Itapiranga (AM)",5,"Médio Baixo",0,0,0,0,0,0
"204",1304104,"Tapauá (AM)",5,"Médio Baixo",0,0,0,0,0,0
"205",1506609,"Santa Maria do Pará (PA)",5,"Médio Baixo",0,0,1,"Muito Baixo",50,"Médio Baixo"
"206",1703842,"Campos Lindos (TO)",5,"Médio Baixo",0,0,0,0,448,"Muito Alto"
"207",1707553,"Fátima (TO)",5,"Médio Baixo",0,0,0,0,48,"Médio Baixo"
"208",1720804,"Sítio Novo do Tocantins (TO)",5,"Médio Baixo",0,0,0,0,50,"Médio Baixo"
"209",2101251,"Bacabeira (MA)",5,"Médio Baixo",0,0,212,"Muito Alto",12,"Baixo"
"210",2108207,"Pedreiras (MA)",5,"Médio Baixo",0,0,0,0,36,"Médio Baixo"
"211",2108454,"Peritoró (MA)",5,"Médio Baixo",0,0,0,0,29,"Baixo"
"212",1300060,"Amaturá (AM)",4,"Médio Baixo",0,0,0,0,0,0
"213",1300102,"Anori (AM)",4,"Médio Baixo",0,0,0,0,0,0
"214",1301506,"Envira (AM)",4,"Médio Baixo",0,0,0,0,2,"Muito Baixo"
"215",1301654,"Guajará (AM)",4,"Médio Baixo",0,0,0,0,7,"Muito Baixo"
"216",1303957,"São Sebastião do Uatumã (AM)",4,"Médio Baixo",0,0,0,0,0,0
"217",1501709,"Bragança (PA)",4,"Médio Baixo",0,0,0,0,80,"Médio Baixo"
"218",1501808,"Breves (PA)",4,"Médio Baixo",0,0,0,0,0,0
"219",1505437,"Ourilândia do Norte (PA)",4,"Médio Baixo",0,0,841,"Muito Alto",138,"Médio Alto"
"220",1508001,"Tomé-Açu (PA)",4,"Médio Baixo",0,0,23,"Médio Alto",1823,"Muito Alto"
"221",1508159,"Uruará (PA)",4,"Médio Baixo",0,0,0,0,176,"Médio Alto"
"222",1702901,"Axixá do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,35,"Médio Baixo"
"223",1703800,"Buriti do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,15,"Baixo"
"224",1705607,"Conceição do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,37,"Médio Baixo"
"225",1707652,"Figueirópolis (TO)",4,"Médio Baixo",0,0,0,0,212,"Médio Alto"
"226",1717008,"Pindorama do Tocantins (TO)",4,"Médio Baixo",0,0,1,"Muito Baixo",39,"Médio Baixo"
"227",1718501,"Recursolândia (TO)",4,"Médio Baixo",0,0,0,0,54,"Médio Baixo"
"228",1718758,"Rio Sono (TO)",4,"Médio Baixo",0,0,0,0,61,"Médio Baixo"
"229",1719004,"Santa Tereza do Tocantins (TO)",4,"Médio Baixo",0,0,0,0,24,"Baixo"
"230",1720499,"São Valério (TO)",4,"Médio Baixo",0,0,0,0,100,"Médio Baixo"
"231",2103307,"Codó (MA)",4,"Médio Baixo",0,0,44,"Médio Alto",293,"Médio Alto"
