"","cod_muni","muni","empregos_energia","class_empregos_energia","empregos_petroleo","class_empregos_petroleo","empregos_mineracao","class_empregos_mineracao","empregos_agro","class_empregos_agro"
"479",5108204,"Torixoréu (MT)",0,0,0,0,0,0,317,"Médio Alto"
"480",2102036,"Bom Jesus das Selvas (MA)",0,0,0,0,0,0,312,"Médio Alto"
"481",1501576,"Bom Jesus do Tocantins (PA)",0,0,0,0,0,0,286,"Médio Alto"
"482",1100155,"Ouro Preto do Oeste (RO)",0,0,0,0,0,0,283,"Médio Alto"
"483",5107743,"Santa Cruz do Xingu (MT)",0,0,0,0,0,0,278,"Médio Alto"
"484",1200138,"Bujari (AC)",0,0,0,0,0,0,268,"Médio Alto"
"485",5106455,"Planalto da Serra (MT)",0,0,0,0,0,0,262,"Médio Alto"
"486",1200500,"Sena Madureira (AC)",0,0,0,0,0,0,245,"Médio Alto"
"487",5106208,"Nova Brasilândia (MT)",0,0,0,0,0,0,245,"Médio Alto"
"488",2108504,"Pindaré-Mirim (MA)",0,0,0,0,0,0,240,"Médio Alto"
"489",1505551,"Pau D'Arco (PA)",0,0,0,0,0,0,226,"Médio Alto"
"490",5106653,"Pontal do Araguaia (MT)",0,0,0,0,0,0,225,"Médio Alto"
"491",1703867,"Cariri do Tocantins (TO)",0,0,0,0,0,0,221,"Médio Alto"
"492",5100805,"Apiacás (MT)",0,0,0,0,0,0,216,"Médio Alto"
"493",1503044,"Floresta do Araguaia (PA)",0,0,0,0,0,0,215,"Médio Alto"
"494",1720978,"Talismã (TO)",0,0,0,0,0,0,212,"Médio Alto"
"495",1500958,"Aurora do Pará (PA)",0,0,0,0,0,0,211,"Médio Alto"
"496",1100056,"Cerejeiras (RO)",0,0,0,0,0,0,205,"Médio Alto"
"497",1101609,"Theobroma (RO)",0,0,0,0,0,0,203,"Médio Alto"
"498",5105176,"Juruena (MT)",0,0,0,0,0,0,203,"Médio Alto"
"499",1100320,"São Miguel do Guaporé (RO)",0,0,0,0,0,0,200,"Médio Alto"
"500",1505486,"Pacajá (PA)",0,0,0,0,0,0,200,"Médio Alto"
"501",1200807,"Porto Acre (AC)",0,0,0,0,0,0,190,"Médio Alto"
"502",1200708,"Xapuri (AC)",0,0,0,0,0,0,189,"Médio Alto"
"503",1711100,"Itaporã do Tocantins (TO)",0,0,0,0,0,0,189,"Médio Alto"
"504",2102002,"Bom Jardim (MA)",0,0,0,0,0,0,189,"Médio Alto"
"505",1720101,"São Bento do Tocantins (TO)",0,0,0,0,0,0,187,"Médio Alto"
"506",5107750,"Salto do Céu (MT)",0,0,0,0,0,0,182,"Médio Alto"
"507",1701309,"Aragominas (TO)",0,0,0,0,0,0,180,"Médio Alto"
"508",5107263,"Santo Afonso (MT)",0,0,0,0,0,0,180,"Médio Alto"
"509",1718899,"Santa Rita do Tocantins (TO)",0,0,0,0,0,0,177,"Médio Alto"
"510",1100940,"Cujubim (RO)",0,0,0,0,0,0,173,"Médio Alto"
"511",5100508,"Alto Paraguai (MT)",0,0,0,0,0,0,169,"Médio Alto"
"512",5103809,"Figueirópolis D'Oeste (MT)",0,0,0,0,0,0,165,"Médio Alto"
"513",2103257,"Cidelândia (MA)",0,0,0,0,0,0,161,"Médio Alto"
"514",1501758,"Brejo Grande do Araguaia (PA)",0,0,0,0,0,0,160,"Médio Alto"
"515",1100031,"Cabixi (RO)",0,0,0,0,0,0,158,"Médio Alto"
"516",1100700,"Campo Novo de Rondônia (RO)",0,0,0,0,0,0,157,"Médio Alto"
"517",1713957,"Muricilândia (TO)",0,0,0,0,0,0,151,"Médio Alto"
"518",1100908,"Castanheiras (RO)",0,0,0,0,0,0,144,"Médio Alto"
"519",1100403,"Alto Paraíso (RO)",0,0,0,0,0,0,142,"Médio Alto"
"520",1506005,"Prainha (PA)",0,0,0,0,0,0,134,"Médio Alto"
"521",5103379,"Cotriguaçu (MT)",0,0,0,0,0,0,134,"Médio Alto"
"522",1508357,"Vitória do Xingu (PA)",0,0,0,0,0,0,133,"Médio Alto"
"523",2102754,"Capinzal do Norte (MA)",0,0,0,0,0,0,132,"Médio Alto"
"524",5101605,"Barão de Melgaço (MT)",0,0,0,0,0,0,131,"Médio Alto"
"525",1200385,"Plácido de Castro (AC)",0,0,0,0,0,0,129,"Médio Alto"
"526",1507607,"São Miguel do Guamá (PA)",0,0,0,0,0,0,128,"Médio Alto"
"527",1503408,"Inhangapi (PA)",0,0,0,0,0,0,127,"Médio Alto"
"528",1200179,"Capixaba (AC)",0,0,0,0,0,0,125,"Médio Alto"
"529",1100338,"Nova Mamoré (RO)",0,0,0,0,0,0,123,"Médio Alto"
"530",1720200,"São Miguel do Tocantins (TO)",0,0,0,0,0,0,122,"Médio Baixo"
"531",2105500,"João Lisboa (MA)",0,0,0,0,0,0,122,"Médio Baixo"
"532",5104500,"Indiavaí (MT)",0,0,0,0,0,0,122,"Médio Baixo"
"533",1200609,"Tarauacá (AC)",0,0,0,0,0,0,119,"Médio Baixo"
"534",1507201,"São Domingos do Capim (PA)",0,0,0,0,0,0,119,"Médio Baixo"
"535",5100359,"Alto Boa Vista (MT)",0,0,0,0,0,0,116,"Médio Baixo"
"536",1100346,"Alvorada D'Oeste (RO)",0,0,0,0,0,0,112,"Médio Baixo"
"537",5102694,"Canabrava do Norte (MT)",0,0,0,0,0,0,111,"Médio Baixo"
"538",2110856,"São Francisco do Brejão (MA)",0,0,0,0,0,0,109,"Médio Baixo"
"539",1100601,"Cacaulândia (RO)",0,0,0,0,0,0,107,"Médio Baixo"
"540",1507979,"Terra Santa (PA)",0,0,0,0,0,0,104,"Médio Baixo"
"541",2100600,"Amarante do Maranhão (MA)",0,0,0,0,0,0,103,"Médio Baixo"
"542",1720853,"Sucupira (TO)",0,0,0,0,0,0,102,"Médio Baixo"
"543",1400050,"Alto Alegre (RR)",0,0,0,0,0,0,101,"Médio Baixo"
"544",2111763,"Senador La Rocque (MA)",0,0,0,0,0,0,101,"Médio Baixo"
"545",1600709,"Tartarugalzinho (AP)",0,0,0,0,0,0,100,"Médio Baixo"
"546",5107883,"Serra Nova Dourada (MT)",0,0,0,0,0,0,96,"Médio Baixo"
"547",1500131,"Abel Figueiredo (PA)",0,0,0,0,0,0,95,"Médio Baixo"
"548",1507904,"Soure (PA)",0,0,0,0,0,0,95,"Médio Baixo"
"549",2107407,"Olho d'Água das Cunhãs (MA)",0,0,0,0,0,0,95,"Médio Baixo"
"550",1101484,"São Felipe D'Oeste (RO)",0,0,0,0,0,0,94,"Médio Baixo"
"551",1200013,"Acrelândia (AC)",0,0,0,0,0,0,94,"Médio Baixo"
"552",5106273,"Novo Horizonte do Norte (MT)",0,0,0,0,0,0,91,"Médio Baixo"
"553",2110658,"São Domingos do Azeitão (MA)",0,0,0,0,0,0,90,"Médio Baixo"
"554",1503507,"Irituia (PA)",0,0,0,0,0,0,89,"Médio Baixo"
"555",1505007,"Nova Timboteua (PA)",0,0,0,0,0,0,89,"Médio Baixo"
"556",1715101,"Novo Acordo (TO)",0,0,0,0,0,0,87,"Médio Baixo"
"557",2112308,"Tuntum (MA)",0,0,0,0,0,0,87,"Médio Baixo"
"558",1703602,"Brasilândia do Tocantins (TO)",0,0,0,0,0,0,85,"Médio Baixo"
"559",1700251,"Abreulândia (TO)",0,0,0,0,0,0,83,"Médio Baixo"
"560",1708254,"Fortaleza do Tabocão (TO)",0,0,0,0,0,0,83,"Médio Baixo"
"561",2112704,"Vargem Grande (MA)",0,0,0,0,0,0,83,"Médio Baixo"
"562",1703883,"Carmolândia (TO)",0,0,0,0,0,0,82,"Médio Baixo"
"563",1504455,"Medicilândia (PA)",0,0,0,0,0,0,81,"Médio Baixo"
"564",1101500,"Seringueiras (RO)",0,0,0,0,0,0,79,"Médio Baixo"
"565",1708304,"Goianorte (TO)",0,0,0,0,0,0,78,"Médio Baixo"
"566",5107297,"São José do Povo (MT)",0,0,0,0,0,0,78,"Médio Baixo"
"567",1504976,"Nova Ipixuna (PA)",0,0,0,0,0,0,76,"Médio Baixo"
"568",1716653,"Pequizeiro (TO)",0,0,0,0,0,0,76,"Médio Baixo"
"569",1701051,"Angico (TO)",0,0,0,0,0,0,75,"Médio Baixo"
"570",1710904,"Itapiratins (TO)",0,0,0,0,0,0,75,"Médio Baixo"
"571",1400175,"Cantá (RR)",0,0,0,0,0,0,72,"Médio Baixo"
"572",1101476,"Primavera de Rondônia (RO)",0,0,0,0,0,0,70,"Médio Baixo"
"573",1504950,"Nova Esperança do Piriá (PA)",0,0,0,0,0,0,69,"Médio Baixo"
"574",1502905,"Curuçá (PA)",0,0,0,0,0,0,68,"Médio Baixo"
"575",2111409,"São Luís Gonzaga do Maranhão (MA)",0,0,0,0,0,0,68,"Médio Baixo"
"576",1507102,"São Caetano de Odivelas (PA)",0,0,0,0,0,0,67,"Médio Baixo"
"577",1703073,"Barra do Ouro (TO)",0,0,0,0,0,0,66,"Médio Baixo"
"578",1718659,"Rio da Conceição (TO)",0,0,0,0,0,0,64,"Médio Baixo"
"579",2100402,"Altamira do Maranhão (MA)",0,0,0,0,0,0,64,"Médio Baixo"
"580",1501204,"Baião (PA)",0,0,0,0,0,0,63,"Médio Baixo"
"581",1504307,"Maracanã (PA)",0,0,0,0,0,0,63,"Médio Baixo"
"582",2105153,"Igarapé do Meio (MA)",0,0,0,0,0,0,63,"Médio Baixo"
"583",1101807,"Vale do Paraíso (RO)",0,0,0,0,0,0,62,"Médio Baixo"
"584",1504752,"Mojuí dos Campos (PA)",0,0,0,0,0,0,60,"Médio Baixo"
"585",1506559,"Santa Luzia do Pará (PA)",0,0,0,0,0,0,59,"Médio Baixo"
"586",1508308,"Viseu (PA)",0,0,0,0,0,0,59,"Médio Baixo"
"587",2107308,"Nova Iorque (MA)",0,0,0,0,0,0,58,"Médio Baixo"
"588",2105989,"Lajeado Novo (MA)",0,0,0,0,0,0,57,"Médio Baixo"
"589",1704105,"Centenário (TO)",0,0,0,0,0,0,55,"Médio Baixo"
"590",1501907,"Bujaru (PA)",0,0,0,0,0,0,54,"Médio Baixo"
"591",1505601,"Peixe-Boi (PA)",0,0,0,0,0,0,54,"Médio Baixo"
"592",1703305,"Bom Jesus do Tocantins (TO)",0,0,0,0,0,0,51,"Médio Baixo"
"593",1713809,"Palmeiras do Tocantins (TO)",0,0,0,0,0,0,51,"Médio Baixo"
"594",1703826,"Cachoeirinha (TO)",0,0,0,0,0,0,50,"Médio Baixo"
"595",2111904,"Sucupira do Norte (MA)",0,0,0,0,0,0,50,"Médio Baixo"
"596",1101005,"Governador Jorge Teixeira (RO)",0,0,0,0,0,0,49,"Médio Baixo"
"597",2102358,"Buritirana (MA)",0,0,0,0,0,0,49,"Médio Baixo"
"598",2111052,"São João do Paraíso (MA)",0,0,0,0,0,0,49,"Médio Baixo"
"599",1706258,"Crixás do Tocantins (TO)",0,0,0,0,0,0,47,"Médio Baixo"
"600",2100956,"Arame (MA)",0,0,0,0,0,0,46,"Médio Baixo"
"601",1501600,"Bonito (PA)",0,0,0,0,0,0,45,"Médio Baixo"
"602",1200302,"Feijó (AC)",0,0,0,0,0,0,44,"Médio Baixo"
"603",1600105,"Amapá (AP)",0,0,0,0,0,0,43,"Médio Baixo"
"604",1400407,"Normandia (RR)",0,0,0,0,0,0,42,"Médio Baixo"
"605",2103752,"Davinópolis (MA)",0,0,0,0,0,0,42,"Médio Baixo"
"606",2107357,"Nova Olinda do Maranhão (MA)",0,0,0,0,0,0,42,"Médio Baixo"
"607",5107404,"São Pedro da Cipa (MT)",0,0,0,0,0,0,42,"Médio Baixo"
"608",1101757,"Vale do Anari (RO)",0,0,0,0,0,0,41,"Médio Baixo"
"609",1503077,"Garrafão do Norte (PA)",0,0,0,0,0,0,41,"Médio Baixo"
"610",1101203,"Ministro Andreazza (RO)",0,0,0,0,0,0,40,"Médio Baixo"
"611",1505700,"Ponta de Pedras (PA)",0,0,0,0,0,0,40,"Médio Baixo"
"612",1718006,"Porto Alegre do Tocantins (TO)",0,0,0,0,0,0,40,"Médio Baixo"
"613",5105309,"Luciara (MT)",0,0,0,0,0,0,40,"Médio Baixo"
"614",1101708,"Urupá (RO)",0,0,0,0,0,0,39,"Médio Baixo"
"615",1718709,"Rio dos Bois (TO)",0,0,0,0,0,0,39,"Médio Baixo"
"616",1502004,"Cachoeira do Arari (PA)",0,0,0,0,0,0,38,"Médio Baixo"
"617",1714302,"Nazaré (TO)",0,0,0,0,0,0,36,"Médio Baixo"
"618",2106508,"Matinha (MA)",0,0,0,0,0,0,36,"Médio Baixo"
"619",1712801,"Maurilândia do Tocantins (TO)",0,0,0,0,0,0,35,"Médio Baixo"
"620",2106904,"Monção (MA)",0,0,0,0,0,0,35,"Médio Baixo"
"621",1504406,"Marapanim (PA)",0,0,0,0,0,0,33,"Baixo"
"622",2102309,"Buriti Bravo (MA)",0,0,0,0,0,0,33,"Baixo"
"623",2109452,"Raposa (MA)",0,0,0,0,0,0,33,"Baixo"
"624",2104651,"Governador Newton Bello (MA)",0,0,0,0,0,0,32,"Baixo"
"625",2107001,"Montes Altos (MA)",0,0,0,0,0,0,32,"Baixo"
"626",2107258,"Nova Colinas (MA)",0,0,0,0,0,0,32,"Baixo"
"627",5101209,"Araguainha (MT)",0,0,0,0,0,0,32,"Baixo"
"628",1720259,"São Salvador do Tocantins (TO)",0,0,0,0,0,0,31,"Baixo"
"629",2102077,"Bom Lugar (MA)",0,0,0,0,0,0,31,"Baixo"
"630",2104503,"Governador Archer (MA)",0,0,0,0,0,0,31,"Baixo"
"631",1704600,"Chapada de Areia (TO)",0,0,0,0,0,0,30,"Baixo"
"632",1718550,"Riachinho (TO)",0,0,0,0,0,0,30,"Baixo"
"633",5106703,"Ponte Branca (MT)",0,0,0,0,0,0,30,"Baixo"
"634",2106706,"Mirador (MA)",0,0,0,0,0,0,29,"Baixo"
"635",1400233,"Caroebe (RR)",0,0,0,0,0,0,28,"Baixo"
"636",2105906,"Lago Verde (MA)",0,0,0,0,0,0,28,"Baixo"
"637",1504901,"Muaná (PA)",0,0,0,0,0,0,26,"Baixo"
"638",1600212,"Cutias (AP)",0,0,0,0,0,0,26,"Baixo"
"639",2111532,"São Pedro da Água Branca (MA)",0,0,0,0,0,0,26,"Baixo"
"640",1505908,"Porto de Moz (PA)",0,0,0,0,0,0,25,"Baixo"
"641",1400282,"Iracema (RR)",0,0,0,0,0,0,24,"Baixo"
"642",1720002,"Santa Terezinha do Tocantins (TO)",0,0,0,0,0,0,24,"Baixo"
"643",2112456,"Turilândia (MA)",0,0,0,0,0,0,24,"Baixo"
"644",1717800,"Ponte Alta do Bom Jesus (TO)",0,0,0,0,0,0,23,"Baixo"
"645",1720937,"Taipas do Tocantins (TO)",0,0,0,0,0,0,23,"Baixo"
"646",1711951,"Lagoa do Tocantins (TO)",0,0,0,0,0,0,22,"Baixo"
"647",1508050,"Trairão (PA)",0,0,0,0,0,0,21,"Baixo"
"648",2103554,"Conceição do Lago-Açu (MA)",0,0,0,0,0,0,21,"Baixo"
"649",1101435,"Nova União (RO)",0,0,0,0,0,0,20,"Baixo"
"650",1200336,"Mâncio Lima (AC)",0,0,0,0,0,0,19,"Baixo"
"651",5106315,"Novo Santo Antônio (MT)",0,0,0,0,0,0,19,"Baixo"
"652",1711803,"Juarina (TO)",0,0,0,0,0,0,18,"Baixo"
"653",1721307,"Tupiratins (TO)",0,0,0,0,0,0,17,"Baixo"
"654",1400456,"Pacaraima (RR)",0,0,0,0,0,0,16,"Baixo"
"655",1500909,"Augusto Corrêa (PA)",0,0,0,0,0,0,16,"Baixo"
"656",1702703,"Aurora do Tocantins (TO)",0,0,0,0,0,0,16,"Baixo"
"657",2101103,"Axixá (MA)",0,0,0,0,0,0,16,"Baixo"
"658",2106631,"Matões do Norte (MA)",0,0,0,0,0,0,16,"Baixo"
"659",1507474,"São João de Pirabas (PA)",0,0,0,0,0,0,15,"Baixo"
"660",1703891,"Carrasco Bonito (TO)",0,0,0,0,0,0,15,"Baixo"
"661",1505650,"Placas (PA)",0,0,0,0,0,0,14,"Baixo"
"662",2105807,"Lago do Junco (MA)",0,0,0,0,0,0,14,"Baixo"
"663",1400605,"São Luiz (RR)",0,0,0,0,0,0,13,"Baixo"
"664",1101559,"Teixeirópolis (RO)",0,0,0,0,0,0,12,"Baixo"
"665",1715150,"Novo Alegre (TO)",0,0,0,0,0,0,12,"Baixo"
"666",2104099,"Formosa da Serra Negra (MA)",0,0,0,0,0,0,12,"Baixo"
"667",1600253,"Itaubal (AP)",0,0,0,0,0,0,11,"Baixo"
"668",1720309,"São Sebastião do Tocantins (TO)",0,0,0,0,0,0,11,"Baixo"
"669",1503309,"Igarapé-Miri (PA)",0,0,0,0,0,0,10,"Baixo"
"670",2110039,"Santa Luzia do Paruá (MA)",0,0,0,0,0,0,10,"Baixo"
"671",2111078,"São João do Soter (MA)",0,0,0,0,0,0,10,"Baixo"
"672",2112902,"Vitória do Mearim (MA)",0,0,0,0,0,0,10,"Baixo"
"673",1715507,"Oliveira de Fátima (TO)",0,0,0,0,0,0,9,"Baixo"
"674",2101806,"Benedito Leite (MA)",0,0,0,0,0,0,9,"Baixo"
"675",2104602,"Governador Eugênio Barros (MA)",0,0,0,0,0,0,9,"Baixo"
"676",2106003,"Lima Campos (MA)",0,0,0,0,0,0,9,"Baixo"
"677",2111029,"São João do Carú (MA)",0,0,0,0,0,0,9,"Baixo"
"678",2100477,"Alto Alegre do Pindaré (MA)",0,0,0,0,0,0,8,"Baixo"
"679",2104677,"Governador Nunes Freire (MA)",0,0,0,0,0,0,8,"Baixo"
"680",2105948,"Lago dos Rodrigues (MA)",0,0,0,0,0,0,8,"Baixo"
"681",2108900,"Poção de Pedras (MA)",0,0,0,0,0,0,8,"Baixo"
"682",1506906,"Santarém Novo (PA)",0,0,0,0,0,0,7,"Muito Baixo"
"683",1507466,"São João da Ponta (PA)",0,0,0,0,0,0,7,"Muito Baixo"
"684",1712157,"Lavandeira (TO)",0,0,0,0,0,0,7,"Muito Baixo"
"685",2100436,"Alto Alegre do Maranhão (MA)",0,0,0,0,0,0,7,"Muito Baixo"
"686",2108306,"Penalva (MA)",0,0,0,0,0,0,7,"Muito Baixo"
"687",2108405,"Peri Mirim (MA)",0,0,0,0,0,0,7,"Muito Baixo"
"688",2111250,"São José dos Basílios (MA)",0,0,0,0,0,0,7,"Muito Baixo"
"689",1200344,"Manoel Urbano (AC)",0,0,0,0,0,0,6,"Muito Baixo"
"690",2108108,"Paulo Ramos (MA)",0,0,0,0,0,0,6,"Muito Baixo"
"691",2108256,"Pedro do Rosário (MA)",0,0,0,0,0,0,5,"Muito Baixo"
"692",2111573,"São Pedro dos Crentes (MA)",0,0,0,0,0,0,5,"Muito Baixo"
"693",2112274,"Tufilândia (MA)",0,0,0,0,0,0,5,"Muito Baixo"
"694",1200054,"Assis Brasil (AC)",0,0,0,0,0,0,4,"Muito Baixo"
"695",1504109,"Magalhães Barata (PA)",0,0,0,0,0,0,4,"Muito Baixo"
"696",2104628,"Governador Luiz Rocha (MA)",0,0,0,0,0,0,4,"Muito Baixo"
"697",2105351,"Itaipava do Grajaú (MA)",0,0,0,0,0,0,4,"Muito Baixo"
"698",2109759,"Santa Filomena do Maranhão (MA)",0,0,0,0,0,0,4,"Muito Baixo"
"699",2110807,"São Félix de Balsas (MA)",0,0,0,0,0,0,4,"Muito Baixo"
"700",2111722,"Satubinha (MA)",0,0,0,0,0,0,4,"Muito Baixo"
"701",2112407,"Turiaçu (MA)",0,0,0,0,0,0,4,"Muito Baixo"
"702",1504422,"Marituba (PA)",0,0,0,0,0,0,3,"Muito Baixo"
"703",1506104,"Primavera (PA)",0,0,0,0,0,0,3,"Muito Baixo"
"704",2100709,"Anajatuba (MA)",0,0,0,0,0,0,3,"Muito Baixo"
"705",2101905,"Bequimão (MA)",0,0,0,0,0,0,3,"Muito Baixo"
"706",2102408,"Cajapió (MA)",0,0,0,0,0,0,3,"Muito Baixo"
"707",2104073,"Feira Nova do Maranhão (MA)",0,0,0,0,0,0,3,"Muito Baixo"
"708",2108702,"Pio XII (MA)",0,0,0,0,0,0,3,"Muito Baixo"
"709",2111748,"Senador Alexandre Costa (MA)",0,0,0,0,0,0,3,"Muito Baixo"
"710",1200427,"Rodrigues Alves (AC)",0,0,0,0,0,0,2,"Muito Baixo"
"711",2100550,"Amapá do Maranhão (MA)",0,0,0,0,0,0,2,"Muito Baixo"
"712",2101939,"Bernardo do Mearim (MA)",0,0,0,0,0,0,2,"Muito Baixo"
"713",2103158,"Centro do Guilherme (MA)",0,0,0,0,0,0,2,"Muito Baixo"
"714",2104206,"Fortuna (MA)",0,0,0,0,0,0,2,"Muito Baixo"
"715",2106359,"Marajá do Sena (MA)",0,0,0,0,0,0,2,"Muito Baixo"
"716",2109239,"Presidente Médici (MA)",0,0,0,0,0,0,2,"Muito Baixo"
"717",1200351,"Marechal Thaumaturgo (AC)",0,0,0,0,0,0,1,"Muito Baixo"
"718",1502608,"Colares (PA)",0,0,0,0,0,0,1,"Muito Baixo"
"719",2100873,"Araguanã (MA)",0,0,0,0,0,0,1,"Muito Baixo"
"720",2103125,"Central do Maranhão (MA)",0,0,0,0,0,0,1,"Muito Baixo"
"721",2104008,"Esperantinópolis (MA)",0,0,0,0,0,0,1,"Muito Baixo"
"722",2105450,"Jatobá (MA)",0,0,0,0,0,0,1,"Muito Baixo"
"723",2107605,"Palmeirândia (MA)",0,0,0,0,0,0,1,"Muito Baixo"
"724",2109304,"Presidente Vargas (MA)",0,0,0,0,0,0,1,"Muito Baixo"
"725",1200328,"Jordão (AC)",0,0,0,0,0,0,0,0
"726",1200393,"Porto Walter (AC)",0,0,0,0,0,0,0,0
"727",1200435,"Santa Rosa do Purus (AC)",0,0,0,0,0,0,0,0
"728",1400704,"Uiramutã (RR)",0,0,0,0,0,0,0,0
"729",1500305,"Afuá (PA)",0,0,0,0,0,0,0,0
"730",1501105,"Bagre (PA)",0,0,0,0,0,0,0,0
"731",1502806,"Curralinho (PA)",0,0,0,0,0,0,0,0
"732",1502855,"Curuá (PA)",0,0,0,0,0,0,0,0
"733",1503002,"Faro (PA)",0,0,0,0,0,0,0,0
"734",1503101,"Gurupá (PA)",0,0,0,0,0,0,0,0
"735",1504000,"Limoeiro do Ajuru (PA)",0,0,0,0,0,0,0,0
"736",1504505,"Melgaço (PA)",0,0,0,0,0,0,0,0
"737",1505205,"Oeiras do Pará (PA)",0,0,0,0,0,0,0,0
"738",1506112,"Quatipuru (PA)",0,0,0,0,0,0,0,0
"739",1507706,"São Sebastião da Boa Vista (PA)",0,0,0,0,0,0,0,0
"740",1600550,"Pracuúba (AP)",0,0,0,0,0,0,0,0
"741",2100204,"Alcântara (MA)",0,0,0,0,0,0,0,0
"742",2100832,"Apicum-Açu (MA)",0,0,0,0,0,0,0,0
"743",2101301,"Bacuri (MA)",0,0,0,0,0,0,0,0
"744",2101350,"Bacurituba (MA)",0,0,0,0,0,0,0,0
"745",2101970,"Boa Vista do Gurupi (MA)",0,0,0,0,0,0,0,0
"746",2102150,"Brejo de Areia (MA)",0,0,0,0,0,0,0,0
"747",2102374,"Cachoeira Grande (MA)",0,0,0,0,0,0,0,0
"748",2102507,"Cajari (MA)",0,0,0,0,0,0,0,0
"749",2103109,"Cedral (MA)",0,0,0,0,0,0,0,0
"750",2103703,"Cururupu (MA)",0,0,0,0,0,0,0,0
"751",2104081,"Fernando Falcão (MA)",0,0,0,0,0,0,0,0
"752",2104701,"Graça Aranha (MA)",0,0,0,0,0,0,0,0
"753",2104909,"Guimarães (MA)",0,0,0,0,0,0,0,0
"754",2105104,"Icatu (MA)",0,0,0,0,0,0,0,0
"755",2105476,"Jenipapo dos Vieiras (MA)",0,0,0,0,0,0,0,0
"756",2105609,"Joselândia (MA)",0,0,0,0,0,0,0,0
"757",2105658,"Junco do Maranhão (MA)",0,0,0,0,0,0,0,0
"758",2105963,"Lagoa Grande do Maranhão (MA)",0,0,0,0,0,0,0,0
"759",2106201,"Luís Domingues (MA)",0,0,0,0,0,0,0,0
"760",2106375,"Maranhãozinho (MA)",0,0,0,0,0,0,0,0
"761",2107100,"Morros (MA)",0,0,0,0,0,0,0,0
"762",2107456,"Olinda Nova do Maranhão (MA)",0,0,0,0,0,0,0,0
"763",2108801,"Pirapemas (MA)",0,0,0,0,0,0,0,0
"764",2109056,"Porto Rico do Maranhão (MA)",0,0,0,0,0,0,0,0
"765",2109205,"Presidente Juscelino (MA)",0,0,0,0,0,0,0,0
"766",2109270,"Presidente Sarney (MA)",0,0,0,0,0,0,0,0
"767",2109809,"Santa Helena (MA)",0,0,0,0,0,0,0,0
"768",2110500,"São Bento (MA)",0,0,0,0,0,0,0,0
"769",2111003,"São João Batista (MA)",0,0,0,0,0,0,0,0
"770",2111631,"São Raimundo do Doca Bezerra (MA)",0,0,0,0,0,0,0,0
"771",2111672,"São Roberto (MA)",0,0,0,0,0,0,0,0
"772",2111706,"São Vicente Ferrer (MA)",0,0,0,0,0,0,0,0
"773",2111789,"Serrano do Maranhão (MA)",0,0,0,0,0,0,0,0
