"","cod_muni","muni","total_medios_estab","class_total_medios_estab","total_grandes_estab","class_total_grandes_estab","medios_e_grandes_estab","class_medios_e_grandes_estab"
"518",2104677,"Governador Nunes Freire (MA)",50,"Médio Baixo",1,"Muito Baixo",51,"Médio Baixo"
"519",2104701,"Graça Aranha (MA)",15,"Baixo",0,0,0,0
"520",2104800,"Grajaú (MA)",239,"Muito Alto",57,"Alto",296,"Muito Alto"
"521",2104909,"Guimarães (MA)",0,0,0,0,0,0
"522",2105104,"Icatu (MA)",2,"Muito Baixo",3,"Baixo",5,"Muito Baixo"
"523",2105153,"Igarapé do Meio (MA)",8,"Muito Baixo",8,"Médio Baixo",16,"Muito Baixo"
"524",2105203,"Igarapé Grande (MA)",14,"Baixo",5,"Baixo",19,"Baixo"
"525",2105302,"Imperatriz (MA)",49,"Médio Baixo",17,"Médio Alto",66,"Médio Baixo"
"526",2105351,"Itaipava do Grajaú (MA)",51,"Médio Baixo",1,"Muito Baixo",52,"Médio Baixo"
"527",2105401,"Itapecuru Mirim (MA)",21,"Baixo",4,"Baixo",25,"Baixo"
"528",2105427,"Itinga do Maranhão (MA)",65,"Médio Alto",42,"Alto",107,"Médio Alto"
"529",2105450,"Jatobá (MA)",11,"Baixo",1,"Muito Baixo",12,"Muito Baixo"
"530",2105476,"Jenipapo dos Vieiras (MA)",46,"Médio Baixo",6,"Médio Baixo",52,"Médio Baixo"
"531",2105500,"João Lisboa (MA)",73,"Médio Alto",13,"Médio Baixo",86,"Médio Alto"
"532",2105609,"Joselândia (MA)",14,"Baixo",0,0,0,0
"533",2105658,"Junco do Maranhão (MA)",37,"Médio Baixo",2,"Muito Baixo",39,"Médio Baixo"
"534",2105708,"Lago da Pedra (MA)",78,"Médio Alto",7,"Médio Baixo",85,"Médio Alto"
"535",2105807,"Lago do Junco (MA)",13,"Baixo",2,"Muito Baixo",15,"Muito Baixo"
"536",2105906,"Lago Verde (MA)",30,"Médio Baixo",5,"Baixo",35,"Médio Baixo"
"537",2105948,"Lago dos Rodrigues (MA)",12,"Baixo",0,0,0,0
"538",2105963,"Lagoa Grande do Maranhão (MA)",39,"Médio Baixo",2,"Muito Baixo",41,"Médio Baixo"
"539",2105989,"Lajeado Novo (MA)",53,"Médio Alto",4,"Baixo",57,"Médio Baixo"
"540",2106003,"Lima Campos (MA)",4,"Muito Baixo",0,0,0,0
"541",2106102,"Loreto (MA)",76,"Médio Alto",39,"Alto",115,"Médio Alto"
"542",2106201,"Luís Domingues (MA)",20,"Baixo",2,"Muito Baixo",22,"Baixo"
"543",2106326,"Maracaçumé (MA)",23,"Médio Baixo",4,"Baixo",27,"Baixo"
"544",2106359,"Marajá do Sena (MA)",62,"Médio Alto",6,"Médio Baixo",68,"Médio Baixo"
"545",2106375,"Maranhãozinho (MA)",45,"Médio Baixo",6,"Médio Baixo",51,"Médio Baixo"
"546",2106508,"Matinha (MA)",4,"Muito Baixo",1,"Muito Baixo",5,"Muito Baixo"
"547",2106631,"Matões do Norte (MA)",29,"Médio Baixo",8,"Médio Baixo",37,"Médio Baixo"
"548",2106706,"Mirador (MA)",106,"Médio Alto",20,"Médio Alto",126,"Médio Alto"
"549",2106755,"Miranda do Norte (MA)",19,"Baixo",1,"Muito Baixo",20,"Baixo"
"550",2106805,"Mirinzal (MA)",1,"Muito Baixo",0,0,0,0
"551",2106904,"Monção (MA)",23,"Médio Baixo",4,"Baixo",27,"Baixo"
"552",2107001,"Montes Altos (MA)",36,"Médio Baixo",3,"Baixo",39,"Médio Baixo"
"553",2107100,"Morros (MA)",0,0,0,0,0,0
"554",2107258,"Nova Colinas (MA)",44,"Médio Baixo",2,"Muito Baixo",46,"Médio Baixo"
"555",2107308,"Nova Iorque (MA)",17,"Baixo",5,"Baixo",22,"Baixo"
"556",2107357,"Nova Olinda do Maranhão (MA)",25,"Médio Baixo",7,"Médio Baixo",32,"Baixo"
"557",2107407,"Olho d'Água das Cunhãs (MA)",33,"Médio Baixo",12,"Médio Baixo",45,"Médio Baixo"
"558",2107456,"Olinda Nova do Maranhão (MA)",1,"Muito Baixo",0,0,0,0
"559",2107506,"Paço do Lumiar (MA)",0,0,0,0,0,0
"560",2107605,"Palmeirândia (MA)",2,"Muito Baixo",1,"Muito Baixo",3,"Muito Baixo"
"561",2107704,"Paraibano (MA)",25,"Médio Baixo",3,"Baixo",28,"Baixo"
"562",2108009,"Pastos Bons (MA)",69,"Médio Alto",8,"Médio Baixo",77,"Médio Baixo"
"563",2108108,"Paulo Ramos (MA)",84,"Médio Alto",13,"Médio Baixo",97,"Médio Alto"
"564",2108207,"Pedreiras (MA)",9,"Muito Baixo",0,0,0,0
"565",2108256,"Pedro do Rosário (MA)",72,"Médio Alto",4,"Baixo",76,"Médio Baixo"
"566",2108306,"Penalva (MA)",22,"Baixo",1,"Muito Baixo",23,"Baixo"
"567",2108405,"Peri Mirim (MA)",4,"Muito Baixo",0,0,0,0
"568",2108454,"Peritoró (MA)",15,"Baixo",9,"Médio Baixo",24,"Baixo"
"569",2108504,"Pindaré-Mirim (MA)",14,"Baixo",3,"Baixo",17,"Muito Baixo"
"570",2108603,"Pinheiro (MA)",15,"Baixo",1,"Muito Baixo",16,"Muito Baixo"
"571",2108702,"Pio XII (MA)",23,"Médio Baixo",2,"Muito Baixo",25,"Baixo"
"572",2108801,"Pirapemas (MA)",14,"Baixo",0,0,0,0
"573",2108900,"Poção de Pedras (MA)",63,"Médio Alto",3,"Baixo",66,"Médio Baixo"
"574",2109007,"Porto Franco (MA)",108,"Alto",14,"Médio Baixo",122,"Médio Alto"
"575",2109056,"Porto Rico do Maranhão (MA)",0,0,0,0,0,0
"576",2109106,"Presidente Dutra (MA)",53,"Médio Alto",3,"Baixo",56,"Médio Baixo"
"577",2109205,"Presidente Juscelino (MA)",0,0,0,0,0,0
"578",2109239,"Presidente Médici (MA)",25,"Médio Baixo",1,"Muito Baixo",26,"Baixo"
"579",2109270,"Presidente Sarney (MA)",13,"Baixo",0,0,0,0
"580",2109304,"Presidente Vargas (MA)",1,"Muito Baixo",0,0,0,0
"581",2109452,"Raposa (MA)",0,0,0,0,0,0
"582",2109502,"Riachão (MA)",192,"Muito Alto",59,"Alto",251,"Alto"
"583",2109551,"Ribamar Fiquene (MA)",42,"Médio Baixo",10,"Médio Baixo",52,"Médio Baixo"
"584",2109601,"Rosário (MA)",0,0,0,0,0,0
"585",2109700,"Sambaíba (MA)",55,"Médio Alto",26,"Médio Alto",81,"Médio Baixo"
"586",2109759,"Santa Filomena do Maranhão (MA)",19,"Baixo",7,"Médio Baixo",26,"Baixo"
"587",2109809,"Santa Helena (MA)",18,"Baixo",2,"Muito Baixo",20,"Baixo"
"588",2109908,"Santa Inês (MA)",20,"Baixo",12,"Médio Baixo",32,"Baixo"
"589",2110005,"Santa Luzia (MA)",126,"Alto",37,"Médio Alto",163,"Alto"
"590",2110039,"Santa Luzia do Paruá (MA)",40,"Médio Baixo",10,"Médio Baixo",50,"Médio Baixo"
"591",2110203,"Santa Rita (MA)",20,"Baixo",1,"Muito Baixo",21,"Baixo"
"592",2110302,"Santo Antônio dos Lopes (MA)",28,"Médio Baixo",8,"Médio Baixo",36,"Médio Baixo"
"593",2110500,"São Bento (MA)",4,"Muito Baixo",0,0,0,0
"594",2110658,"São Domingos do Azeitão (MA)",35,"Médio Baixo",11,"Médio Baixo",46,"Médio Baixo"
"595",2110708,"São Domingos do Maranhão (MA)",50,"Médio Baixo",6,"Médio Baixo",56,"Médio Baixo"
"596",2110807,"São Félix de Balsas (MA)",70,"Médio Alto",12,"Médio Baixo",82,"Médio Alto"
"597",2110856,"São Francisco do Brejão (MA)",55,"Médio Alto",13,"Médio Baixo",68,"Médio Baixo"
"598",2111003,"São João Batista (MA)",1,"Muito Baixo",0,0,0,0
"599",2111029,"São João do Carú (MA)",15,"Baixo",1,"Muito Baixo",16,"Muito Baixo"
"600",2111052,"São João do Paraíso (MA)",134,"Alto",17,"Médio Alto",151,"Médio Alto"
"601",2111078,"São João do Soter (MA)",14,"Baixo",4,"Baixo",18,"Baixo"
"602",2111201,"São José de Ribamar (MA)",0,0,0,0,0,0
"603",2111250,"São José dos Basílios (MA)",22,"Baixo",1,"Muito Baixo",23,"Baixo"
"604",2111300,"São Luís (MA)",1,"Muito Baixo",0,0,0,0
"605",2111409,"São Luís Gonzaga do Maranhão (MA)",37,"Médio Baixo",9,"Médio Baixo",46,"Médio Baixo"
"606",2111508,"São Mateus do Maranhão (MA)",31,"Médio Baixo",4,"Baixo",35,"Médio Baixo"
"607",2111532,"São Pedro da Água Branca (MA)",30,"Médio Baixo",5,"Baixo",35,"Médio Baixo"
"608",2111573,"São Pedro dos Crentes (MA)",70,"Médio Alto",5,"Baixo",75,"Médio Baixo"
"609",2111607,"São Raimundo das Mangabeiras (MA)",58,"Médio Alto",18,"Médio Alto",76,"Médio Baixo"
"610",2111631,"São Raimundo do Doca Bezerra (MA)",32,"Médio Baixo",1,"Muito Baixo",33,"Baixo"
"611",2111672,"São Roberto (MA)",11,"Baixo",1,"Muito Baixo",12,"Muito Baixo"
"612",2111706,"São Vicente Ferrer (MA)",2,"Muito Baixo",0,0,0,0
"613",2111722,"Satubinha (MA)",16,"Baixo",3,"Baixo",19,"Baixo"
"614",2111748,"Senador Alexandre Costa (MA)",16,"Baixo",3,"Baixo",19,"Baixo"
"615",2111763,"Senador La Rocque (MA)",48,"Médio Baixo",7,"Médio Baixo",55,"Médio Baixo"
"616",2111789,"Serrano do Maranhão (MA)",3,"Muito Baixo",0,0,0,0
"617",2111805,"Sítio Novo (MA)",156,"Alto",13,"Médio Baixo",169,"Alto"
"618",2111904,"Sucupira do Norte (MA)",39,"Médio Baixo",7,"Médio Baixo",46,"Médio Baixo"
"619",2112001,"Tasso Fragoso (MA)",71,"Médio Alto",33,"Médio Alto",104,"Médio Alto"
"620",2112100,"Timbiras (MA)",30,"Médio Baixo",4,"Baixo",34,"Baixo"
"621",2112233,"Trizidela do Vale (MA)",11,"Baixo",1,"Muito Baixo",12,"Muito Baixo"
"622",2112274,"Tufilândia (MA)",6,"Muito Baixo",5,"Baixo",11,"Muito Baixo"
"623",2112308,"Tuntum (MA)",125,"Alto",25,"Médio Alto",150,"Médio Alto"
"624",2112407,"Turiaçu (MA)",5,"Muito Baixo",0,0,0,0
"625",2112456,"Turilândia (MA)",17,"Baixo",4,"Baixo",21,"Baixo"
"626",2112704,"Vargem Grande (MA)",17,"Baixo",3,"Baixo",20,"Baixo"
"627",2112803,"Viana (MA)",30,"Médio Baixo",3,"Baixo",33,"Baixo"
"628",2112852,"Vila Nova dos Martírios (MA)",85,"Médio Alto",17,"Médio Alto",102,"Médio Alto"
"629",2112902,"Vitória do Mearim (MA)",29,"Médio Baixo",2,"Muito Baixo",31,"Baixo"
"630",2113009,"Vitorino Freire (MA)",64,"Médio Alto",14,"Médio Baixo",78,"Médio Baixo"
"631",2114007,"Zé Doca (MA)",85,"Médio Alto",3,"Baixo",88,"Médio Alto"
"632",5100102,"Acorizal (MT)",39,"Médio Baixo",13,"Médio Baixo",52,"Médio Baixo"
"633",5100201,"Água Boa (MT)",170,"Alto",126,"Muito Alto",296,"Muito Alto"
"634",5100250,"Alta Floresta (MT)",264,"Muito Alto",116,"Muito Alto",380,"Muito Alto"
"635",5100300,"Alto Araguaia (MT)",194,"Muito Alto",122,"Muito Alto",316,"Muito Alto"
"636",5100359,"Alto Boa Vista (MT)",21,"Baixo",4,"Baixo",25,"Baixo"
"637",5100409,"Alto Garças (MT)",82,"Médio Alto",73,"Alto",155,"Alto"
"638",5100508,"Alto Paraguai (MT)",52,"Médio Alto",26,"Médio Alto",78,"Médio Baixo"
"639",5100607,"Alto Taquari (MT)",28,"Médio Baixo",34,"Médio Alto",62,"Médio Baixo"
"640",5100805,"Apiacás (MT)",134,"Alto",80,"Muito Alto",214,"Alto"
"641",5101001,"Araguaiana (MT)",59,"Médio Alto",95,"Muito Alto",154,"Médio Alto"
"642",5101209,"Araguainha (MT)",23,"Médio Baixo",15,"Médio Baixo",38,"Médio Baixo"
"643",5101258,"Araputanga (MT)",40,"Médio Baixo",31,"Médio Alto",71,"Médio Baixo"
"644",5101308,"Arenápolis (MT)",26,"Médio Baixo",5,"Baixo",31,"Baixo"
"645",5101407,"Aripuanã (MT)",356,"Muito Alto",145,"Muito Alto",501,"Muito Alto"
"646",5101605,"Barão de Melgaço (MT)",43,"Médio Baixo",40,"Alto",83,"Médio Alto"
"647",5101704,"Barra do Bugres (MT)",88,"Médio Alto",77,"Alto",165,"Alto"
"648",5101803,"Barra do Garças (MT)",197,"Muito Alto",122,"Muito Alto",319,"Muito Alto"
"649",5101852,"Bom Jesus do Araguaia (MT)",65,"Médio Alto",28,"Médio Alto",93,"Médio Alto"
"650",5101902,"Brasnorte (MT)",116,"Alto",132,"Muito Alto",248,"Alto"
"651",5102504,"Cáceres (MT)",325,"Muito Alto",198,"Muito Alto",523,"Muito Alto"
"652",5102603,"Campinápolis (MT)",83,"Médio Alto",61,"Alto",144,"Médio Alto"
"653",5102637,"Campo Novo do Parecis (MT)",20,"Baixo",107,"Muito Alto",127,"Médio Alto"
"654",5102678,"Campo Verde (MT)",67,"Médio Alto",83,"Muito Alto",150,"Médio Alto"
"655",5102686,"Campos de Júlio (MT)",14,"Baixo",72,"Alto",86,"Médio Alto"
"656",5102694,"Canabrava do Norte (MT)",94,"Médio Alto",28,"Médio Alto",122,"Médio Alto"
"657",5102702,"Canarana (MT)",142,"Alto",150,"Muito Alto",292,"Muito Alto"
"658",5102793,"Carlinda (MT)",105,"Médio Alto",40,"Alto",145,"Médio Alto"
"659",5102850,"Castanheira (MT)",153,"Alto",73,"Alto",226,"Alto"
"660",5103007,"Chapada dos Guimarães (MT)",156,"Alto",79,"Muito Alto",235,"Alto"
"661",5103056,"Cláudia (MT)",73,"Médio Alto",48,"Alto",121,"Médio Alto"
"662",5103106,"Cocalinho (MT)",69,"Médio Alto",159,"Muito Alto",228,"Alto"
"663",5103205,"Colíder (MT)",174,"Alto",56,"Alto",230,"Alto"
"664",5103254,"Colniza (MT)",237,"Muito Alto",84,"Muito Alto",321,"Muito Alto"
"665",5103304,"Comodoro (MT)",85,"Médio Alto",82,"Muito Alto",167,"Alto"
"666",5103353,"Confresa (MT)",202,"Muito Alto",35,"Médio Alto",237,"Alto"
"667",5103361,"Conquista D'Oeste (MT)",21,"Baixo",11,"Médio Baixo",32,"Baixo"
"668",5103379,"Cotriguaçu (MT)",164,"Alto",52,"Alto",216,"Alto"
"669",5103403,"Cuiabá (MT)",96,"Médio Alto",30,"Médio Alto",126,"Médio Alto"
"670",5103437,"Curvelândia (MT)",26,"Médio Baixo",4,"Baixo",30,"Baixo"
"671",5103452,"Denise (MT)",61,"Médio Alto",17,"Médio Alto",78,"Médio Baixo"
"672",5103502,"Diamantino (MT)",82,"Médio Alto",138,"Muito Alto",220,"Alto"
"673",5103601,"Dom Aquino (MT)",81,"Médio Alto",47,"Alto",128,"Médio Alto"
"674",5103700,"Feliz Natal (MT)",47,"Médio Baixo",76,"Alto",123,"Médio Alto"
"675",5103809,"Figueirópolis D'Oeste (MT)",67,"Médio Alto",12,"Médio Baixo",79,"Médio Baixo"
"676",5103858,"Gaúcha do Norte (MT)",115,"Alto",125,"Muito Alto",240,"Alto"
"677",5103908,"General Carneiro (MT)",66,"Médio Alto",67,"Alto",133,"Médio Alto"
"678",5103957,"Glória D'Oeste (MT)",84,"Médio Alto",14,"Médio Baixo",98,"Médio Alto"
"679",5104104,"Guarantã do Norte (MT)",258,"Muito Alto",72,"Alto",330,"Muito Alto"
"680",5104203,"Guiratinga (MT)",152,"Alto",79,"Muito Alto",231,"Alto"
"681",5104500,"Indiavaí (MT)",22,"Baixo",12,"Médio Baixo",34,"Baixo"
"682",5104526,"Ipiranga do Norte (MT)",58,"Médio Alto",66,"Alto",124,"Médio Alto"
"683",5104542,"Itanhangá (MT)",31,"Médio Baixo",48,"Alto",79,"Médio Baixo"
"684",5104559,"Itaúba (MT)",32,"Médio Baixo",73,"Alto",105,"Médio Alto"
"685",5104609,"Itiquira (MT)",96,"Médio Alto",138,"Muito Alto",234,"Alto"
"686",5104807,"Jaciara (MT)",61,"Médio Alto",34,"Médio Alto",95,"Médio Alto"
"687",5104906,"Jangada (MT)",27,"Médio Baixo",17,"Médio Alto",44,"Médio Baixo"
"688",5105002,"Jauru (MT)",46,"Médio Baixo",22,"Médio Alto",68,"Médio Baixo"
"689",5105101,"Juara (MT)",290,"Muito Alto",248,"Muito Alto",538,"Muito Alto"
"690",5105150,"Juína (MT)",301,"Muito Alto",126,"Muito Alto",427,"Muito Alto"
"691",5105176,"Juruena (MT)",87,"Médio Alto",36,"Médio Alto",123,"Médio Alto"
"692",5105200,"Juscimeira (MT)",71,"Médio Alto",34,"Médio Alto",105,"Médio Alto"
"693",5105234,"Lambari D'Oeste (MT)",62,"Médio Alto",41,"Alto",103,"Médio Alto"
"694",5105259,"Lucas do Rio Verde (MT)",125,"Alto",79,"Muito Alto",204,"Alto"
"695",5105309,"Luciara (MT)",31,"Médio Baixo",31,"Médio Alto",62,"Médio Baixo"
"696",5105507,"Vila Bela da Santíssima Trindade (MT)",213,"Muito Alto",159,"Muito Alto",372,"Muito Alto"
"697",5105580,"Marcelândia (MT)",142,"Alto",111,"Muito Alto",253,"Alto"
"698",5105606,"Matupá (MT)",80,"Médio Alto",47,"Alto",127,"Médio Alto"
"699",5105622,"Mirassol d'Oeste (MT)",70,"Médio Alto",11,"Médio Baixo",81,"Médio Baixo"
"700",5105903,"Nobres (MT)",60,"Médio Alto",55,"Alto",115,"Médio Alto"
"701",5106000,"Nortelândia (MT)",48,"Médio Baixo",13,"Médio Baixo",61,"Médio Baixo"
"702",5106109,"Nossa Senhora do Livramento (MT)",191,"Muito Alto",73,"Alto",264,"Muito Alto"
"703",5106158,"Nova Bandeirantes (MT)",187,"Muito Alto",68,"Alto",255,"Alto"
"704",5106174,"Nova Nazaré (MT)",30,"Médio Baixo",29,"Médio Alto",59,"Médio Baixo"
"705",5106182,"Nova Lacerda (MT)",69,"Médio Alto",51,"Alto",120,"Médio Alto"
"706",5106190,"Nova Santa Helena (MT)",54,"Médio Alto",37,"Médio Alto",91,"Médio Alto"
"707",5106208,"Nova Brasilândia (MT)",46,"Médio Baixo",61,"Alto",107,"Médio Alto"
"708",5106216,"Nova Canaã do Norte (MT)",196,"Muito Alto",85,"Muito Alto",281,"Muito Alto"
"709",5106224,"Nova Mutum (MT)",142,"Alto",153,"Muito Alto",295,"Muito Alto"
"710",5106232,"Nova Olímpia (MT)",27,"Médio Baixo",31,"Médio Alto",58,"Médio Baixo"
"711",5106240,"Nova Ubiratã (MT)",55,"Médio Alto",127,"Muito Alto",182,"Alto"
"712",5106257,"Nova Xavantina (MT)",196,"Muito Alto",78,"Muito Alto",274,"Muito Alto"
"713",5106265,"Novo Mundo (MT)",195,"Muito Alto",80,"Muito Alto",275,"Muito Alto"
"714",5106273,"Novo Horizonte do Norte (MT)",41,"Médio Baixo",13,"Médio Baixo",54,"Médio Baixo"
"715",5106281,"Novo São Joaquim (MT)",100,"Médio Alto",90,"Muito Alto",190,"Alto"
"716",5106299,"Paranaíta (MT)",224,"Muito Alto",67,"Alto",291,"Muito Alto"
"717",5106307,"Paranatinga (MT)",279,"Muito Alto",227,"Muito Alto",506,"Muito Alto"
"718",5106315,"Novo Santo Antônio (MT)",76,"Médio Alto",26,"Médio Alto",102,"Médio Alto"
"719",5106372,"Pedra Preta (MT)",113,"Alto",72,"Alto",185,"Alto"
"720",5106422,"Peixoto de Azevedo (MT)",96,"Médio Alto",62,"Alto",158,"Alto"
"721",5106455,"Planalto da Serra (MT)",41,"Médio Baixo",37,"Médio Alto",78,"Médio Baixo"
"722",5106505,"Poconé (MT)",209,"Muito Alto",142,"Muito Alto",351,"Muito Alto"
"723",5106653,"Pontal do Araguaia (MT)",117,"Alto",57,"Alto",174,"Alto"
"724",5106703,"Ponte Branca (MT)",41,"Médio Baixo",16,"Médio Alto",57,"Médio Baixo"
"725",5106752,"Pontes e Lacerda (MT)",181,"Alto",113,"Muito Alto",294,"Muito Alto"
"726",5106778,"Porto Alegre do Norte (MT)",119,"Alto",25,"Médio Alto",144,"Médio Alto"
"727",5106802,"Porto dos Gaúchos (MT)",67,"Médio Alto",82,"Muito Alto",149,"Médio Alto"
"728",5106828,"Porto Esperidião (MT)",201,"Muito Alto",121,"Muito Alto",322,"Muito Alto"
"729",5106851,"Porto Estrela (MT)",52,"Médio Alto",30,"Médio Alto",82,"Médio Alto"
"730",5107008,"Poxoréu (MT)",250,"Muito Alto",130,"Muito Alto",380,"Muito Alto"
"731",5107040,"Primavera do Leste (MT)",92,"Médio Alto",137,"Muito Alto",229,"Alto"
"732",5107065,"Querência (MT)",75,"Médio Alto",77,"Alto",152,"Médio Alto"
"733",5107107,"São José dos Quatro Marcos (MT)",93,"Médio Alto",16,"Médio Alto",109,"Médio Alto"
"734",5107156,"Reserva do Cabaçal (MT)",40,"Médio Baixo",20,"Médio Alto",60,"Médio Baixo"
"735",5107180,"Ribeirão Cascalheira (MT)",173,"Alto",99,"Muito Alto",272,"Muito Alto"
"736",5107198,"Ribeirãozinho (MT)",39,"Médio Baixo",12,"Médio Baixo",51,"Médio Baixo"
"737",5107206,"Rio Branco (MT)",36,"Médio Baixo",8,"Médio Baixo",44,"Médio Baixo"
"738",5107248,"Santa Carmem (MT)",39,"Médio Baixo",64,"Alto",103,"Médio Alto"
"739",5107263,"Santo Afonso (MT)",48,"Médio Baixo",20,"Médio Alto",68,"Médio Baixo"
"740",5107297,"São José do Povo (MT)",21,"Baixo",10,"Médio Baixo",31,"Baixo"
"741",5107305,"São José do Rio Claro (MT)",74,"Médio Alto",55,"Alto",129,"Médio Alto"
"742",5107354,"São José do Xingu (MT)",37,"Médio Baixo",97,"Muito Alto",134,"Médio Alto"
"743",5107404,"São Pedro da Cipa (MT)",14,"Baixo",11,"Médio Baixo",25,"Baixo"
"744",5107578,"Rondolândia (MT)",68,"Médio Alto",49,"Alto",117,"Médio Alto"
"745",5107602,"Rondonópolis (MT)",170,"Alto",63,"Alto",233,"Alto"
"746",5107701,"Rosário Oeste (MT)",147,"Alto",123,"Muito Alto",270,"Muito Alto"
"747",5107743,"Santa Cruz do Xingu (MT)",44,"Médio Baixo",45,"Alto",89,"Médio Alto"
"748",5107750,"Salto do Céu (MT)",67,"Médio Alto",34,"Médio Alto",101,"Médio Alto"
"749",5107768,"Santa Rita do Trivelato (MT)",21,"Baixo",65,"Alto",86,"Médio Alto"
"750",5107776,"Santa Terezinha (MT)",98,"Médio Alto",39,"Alto",137,"Médio Alto"
"751",5107792,"Santo Antônio do Leste (MT)",26,"Médio Baixo",53,"Alto",79,"Médio Baixo"
"752",5107800,"Santo Antônio do Leverger (MT)",198,"Muito Alto",147,"Muito Alto",345,"Muito Alto"
"753",5107859,"São Félix do Araguaia (MT)",135,"Alto",84,"Muito Alto",219,"Alto"
"754",5107875,"Sapezal (MT)",21,"Baixo",75,"Alto",96,"Médio Alto"
"755",5107883,"Serra Nova Dourada (MT)",79,"Médio Alto",18,"Médio Alto",97,"Médio Alto"
"756",5107909,"Sinop (MT)",113,"Alto",72,"Alto",185,"Alto"
"757",5107925,"Sorriso (MT)",157,"Alto",235,"Muito Alto",392,"Muito Alto"
"758",5107941,"Tabaporã (MT)",92,"Médio Alto",83,"Muito Alto",175,"Alto"
"759",5107958,"Tangará da Serra (MT)",96,"Médio Alto",58,"Alto",154,"Médio Alto"
"760",5108006,"Tapurah (MT)",68,"Médio Alto",72,"Alto",140,"Médio Alto"
"761",5108055,"Terra Nova do Norte (MT)",180,"Alto",44,"Alto",224,"Alto"
"762",5108105,"Tesouro (MT)",69,"Médio Alto",79,"Muito Alto",148,"Médio Alto"
"763",5108204,"Torixoréu (MT)",174,"Alto",56,"Alto",230,"Alto"
"764",5108303,"União do Sul (MT)",38,"Médio Baixo",44,"Alto",82,"Médio Alto"
"765",5108352,"Vale de São Domingos (MT)",38,"Médio Baixo",9,"Médio Baixo",47,"Médio Baixo"
"766",5108402,"Várzea Grande (MT)",22,"Baixo",9,"Médio Baixo",31,"Baixo"
"767",5108501,"Vera (MT)",44,"Médio Baixo",75,"Alto",119,"Médio Alto"
"768",5108600,"Vila Rica (MT)",238,"Muito Alto",102,"Muito Alto",340,"Muito Alto"
"769",5108808,"Nova Guarita (MT)",87,"Médio Alto",9,"Médio Baixo",96,"Médio Alto"
"770",5108857,"Nova Marilândia (MT)",56,"Médio Alto",24,"Médio Alto",80,"Médio Baixo"
"771",5108907,"Nova Maringá (MT)",34,"Médio Baixo",97,"Muito Alto",131,"Médio Alto"
"772",5108956,"Nova Monte Verde (MT)",103,"Médio Alto",69,"Alto",172,"Alto"
"773",2103000,"Caxias (MA)",79,"Médio Alto",22,"Médio Alto",101,"Médio Alto"
