"","cod_muni","muni","arroz_em_casca_1","milho_em_grao_1","soja_em_grao_1","valor_producao","class_valor_producao"
"459",1101476,"Primavera de Rondônia (RO)",0,0,0,0,0
"460",1101484,"São Felipe D'Oeste (RO)",0,0,0,0,0
"461",1101500,"Seringueiras (RO)",0,0,0,0,0
"462",1101559,"Teixeirópolis (RO)",0,0,0,0,0
"463",1101609,"Theobroma (RO)",0,0,0,0,0
"464",1101708,"Urupá (RO)",0,0,0,0,0
"465",1101757,"Vale do Anari (RO)",0,0,0,0,0
"466",1101807,"Vale do Paraíso (RO)",0,0,0,0,0
"467",1200203,"Cruzeiro do Sul (AC)",0,0,0,0,0
"468",1200328,"Jordão (AC)",0,0,0,0,0
"469",1200336,"Mâncio Lima (AC)",0,0,0,0,0
"470",1200351,"Marechal Thaumaturgo (AC)",0,0,0,0,0
"471",1200393,"Porto Walter (AC)",0,0,0,0,0
"472",1300029,"Alvarães (AM)",0,0,0,0,0
"473",1300060,"Amaturá (AM)",0,0,0,0,0
"474",1300086,"Anamã (AM)",0,0,0,0,0
"475",1300102,"Anori (AM)",0,0,0,0,0
"476",1300201,"Atalaia do Norte (AM)",0,0,0,0,0
"477",1300300,"Autazes (AM)",0,0,0,0,0
"478",1300409,"Barcelos (AM)",0,0,0,0,0
"479",1300508,"Barreirinha (AM)",0,0,0,0,0
"480",1300607,"Benjamin Constant (AM)",0,0,0,0,0
"481",1300680,"Boa Vista do Ramos (AM)",0,0,0,0,0
"482",1300805,"Borba (AM)",0,0,0,0,0
"483",1300839,"Caapiranga (AM)",0,0,0,0,0
"484",1301001,"Carauari (AM)",0,0,0,0,0
"485",1301100,"Careiro (AM)",0,0,0,0,0
"486",1301159,"Careiro da Várzea (AM)",0,0,0,0,0
"487",1301407,"Eirunepé (AM)",0,0,0,0,0
"488",1301605,"Fonte Boa (AM)",0,0,0,0,0
"489",1301654,"Guajará (AM)",0,0,0,0,0
"490",1301852,"Iranduba (AM)",0,0,0,0,0
"491",1301902,"Itacoatiara (AM)",0,0,0,0,0
"492",1301951,"Itamarati (AM)",0,0,0,0,0
"493",1302009,"Itapiranga (AM)",0,0,0,0,0
"494",1302108,"Japurá (AM)",0,0,0,0,0
"495",1302207,"Juruá (AM)",0,0,0,0,0
"496",1302306,"Jutaí (AM)",0,0,0,0,0
"497",1302504,"Manacapuru (AM)",0,0,0,0,0
"498",1302603,"Manaus (AM)",0,0,0,0,0
"499",1302801,"Maraã (AM)",0,0,0,0,0
"500",1303007,"Nhamundá (AM)",0,0,0,0,0
"501",1303106,"Nova Olinda do Norte (AM)",0,0,0,0,0
"502",1303205,"Novo Airão (AM)",0,0,0,0,0
"503",1303304,"Novo Aripuanã (AM)",0,0,0,0,0
"504",1303403,"Parintins (AM)",0,0,0,0,0
"505",1303502,"Pauini (AM)",0,0,0,0,0
"506",1303536,"Presidente Figueiredo (AM)",0,0,0,0,0
"507",1303569,"Rio Preto da Eva (AM)",0,0,0,0,0
"508",1303601,"Santa Isabel do Rio Negro (AM)",0,0,0,0,0
"509",1303700,"Santo Antônio do Içá (AM)",0,0,0,0,0
"510",1303809,"São Gabriel da Cachoeira (AM)",0,0,0,0,0
"511",1303908,"São Paulo de Olivença (AM)",0,0,0,0,0
"512",1303957,"São Sebastião do Uatumã (AM)",0,0,0,0,0
"513",1304005,"Silves (AM)",0,0,0,0,0
"514",1304062,"Tabatinga (AM)",0,0,0,0,0
"515",1304237,"Tonantins (AM)",0,0,0,0,0
"516",1304260,"Uarini (AM)",0,0,0,0,0
"517",1304302,"Urucará (AM)",0,0,0,0,0
"518",1304401,"Urucurituba (AM)",0,0,0,0,0
"519",1400407,"Normandia (RR)",0,0,0,0,0
"520",1400456,"Pacaraima (RR)",0,0,0,0,0
"521",1400506,"São João da Baliza (RR)",0,0,0,0,0
"522",1400605,"São Luiz (RR)",0,0,0,0,0
"523",1500107,"Abaetetuba (PA)",0,0,0,0,0
"524",1500131,"Abel Figueiredo (PA)",0,0,0,0,0
"525",1500701,"Anajás (PA)",0,0,0,0,0
"526",1500800,"Ananindeua (PA)",0,0,0,0,0
"527",1500909,"Augusto Corrêa (PA)",0,0,0,0,0
"528",1501105,"Bagre (PA)",0,0,0,0,0
"529",1501204,"Baião (PA)",0,0,0,0,0
"530",1501253,"Bannach (PA)",0,0,0,0,0
"531",1501303,"Barcarena (PA)",0,0,0,0,0
"532",1501402,"Belém (PA)",0,0,0,0,0
"533",1501501,"Benevides (PA)",0,0,0,0,0
"534",1501600,"Bonito (PA)",0,0,0,0,0
"535",1501907,"Bujaru (PA)",0,0,0,0,0
"536",1502004,"Cachoeira do Arari (PA)",0,0,0,0,0
"537",1502202,"Capanema (PA)",0,0,0,0,0
"538",1502400,"Castanhal (PA)",0,0,0,0,0
"539",1502608,"Colares (PA)",0,0,0,0,0
"540",1502756,"Concórdia do Pará (PA)",0,0,0,0,0
"541",1502806,"Curralinho (PA)",0,0,0,0,0
"542",1502855,"Curuá (PA)",0,0,0,0,0
"543",1502905,"Curuçá (PA)",0,0,0,0,0
"544",1503002,"Faro (PA)",0,0,0,0,0
"545",1503077,"Garrafão do Norte (PA)",0,0,0,0,0
"546",1503101,"Gurupá (PA)",0,0,0,0,0
"547",1503200,"Igarapé-Açu (PA)",0,0,0,0,0
"548",1503309,"Igarapé-Miri (PA)",0,0,0,0,0
"549",1503408,"Inhangapi (PA)",0,0,0,0,0
"550",1503507,"Irituia (PA)",0,0,0,0,0
"551",1503754,"Jacareacanga (PA)",0,0,0,0,0
"552",1503804,"Jacundá (PA)",0,0,0,0,0
"553",1503903,"Juruti (PA)",0,0,0,0,0
"554",1504000,"Limoeiro do Ajuru (PA)",0,0,0,0,0
"555",1504059,"Mãe do Rio (PA)",0,0,0,0,0
"556",1504109,"Magalhães Barata (PA)",0,0,0,0,0
"557",1504307,"Maracanã (PA)",0,0,0,0,0
"558",1504406,"Marapanim (PA)",0,0,0,0,0
"559",1504422,"Marituba (PA)",0,0,0,0,0
"560",1504505,"Melgaço (PA)",0,0,0,0,0
"561",1504604,"Mocajuba (PA)",0,0,0,0,0
"562",1504901,"Muaná (PA)",0,0,0,0,0
"563",1505007,"Nova Timboteua (PA)",0,0,0,0,0
"564",1505205,"Oeiras do Pará (PA)",0,0,0,0,0
"565",1505403,"Ourém (PA)",0,0,0,0,0
"566",1505551,"Pau D'Arco (PA)",0,0,0,0,0
"567",1505700,"Ponta de Pedras (PA)",0,0,0,0,0
"568",1506104,"Primavera (PA)",0,0,0,0,0
"569",1506112,"Quatipuru (PA)",0,0,0,0,0
"570",1506203,"Salinópolis (PA)",0,0,0,0,0
"571",1506302,"Salvaterra (PA)",0,0,0,0,0
"572",1506351,"Santa Bárbara do Pará (PA)",0,0,0,0,0
"573",1506401,"Santa Cruz do Arari (PA)",0,0,0,0,0
"574",1506500,"Santa Izabel do Pará (PA)",0,0,0,0,0
"575",1506609,"Santa Maria do Pará (PA)",0,0,0,0,0
"576",1506906,"Santarém Novo (PA)",0,0,0,0,0
"577",1507003,"Santo Antônio do Tauá (PA)",0,0,0,0,0
"578",1507102,"São Caetano de Odivelas (PA)",0,0,0,0,0
"579",1507409,"São Francisco do Pará (PA)",0,0,0,0,0
"580",1507466,"São João da Ponta (PA)",0,0,0,0,0
"581",1507474,"São João de Pirabas (PA)",0,0,0,0,0
"582",1507607,"São Miguel do Guamá (PA)",0,0,0,0,0
"583",1507706,"São Sebastião da Boa Vista (PA)",0,0,0,0,0
"584",1507755,"Sapucaia (PA)",0,0,0,0,0
"585",1507904,"Soure (PA)",0,0,0,0,0
"586",1507961,"Terra Alta (PA)",0,0,0,0,0
"587",1507979,"Terra Santa (PA)",0,0,0,0,0
"588",1508001,"Tomé-Açu (PA)",0,0,0,0,0
"589",1508035,"Tracuateua (PA)",0,0,0,0,0
"590",1508209,"Vigia (PA)",0,0,0,0,0
"591",1508357,"Vitória do Xingu (PA)",0,0,0,0,0
"592",1600055,"Serra do Navio (AP)",0,0,0,0,0
"593",1600105,"Amapá (AP)",0,0,0,0,0
"594",1600154,"Pedra Branca do Amapari (AP)",0,0,0,0,0
"595",1600204,"Calçoene (AP)",0,0,0,0,0
"596",1600212,"Cutias (AP)",0,0,0,0,0
"597",1600238,"Ferreira Gomes (AP)",0,0,0,0,0
"598",1600253,"Itaubal (AP)",0,0,0,0,0
"599",1600535,"Porto Grande (AP)",0,0,0,0,0
"600",1600600,"Santana (AP)",0,0,0,0,0
"601",1600709,"Tartarugalzinho (AP)",0,0,0,0,0
"602",1701002,"Ananás (TO)",0,0,0,0,0
"603",1701051,"Angico (TO)",0,0,0,0,0
"604",1701309,"Aragominas (TO)",0,0,0,0,0
"605",1702158,"Araguanã (TO)",0,0,0,0,0
"606",1702703,"Aurora do Tocantins (TO)",0,0,0,0,0
"607",1702901,"Axixá do Tocantins (TO)",0,0,0,0,0
"608",1703057,"Bandeirantes do Tocantins (TO)",0,0,0,0,0
"609",1703107,"Barrolândia (TO)",0,0,0,0,0
"610",1703206,"Bernardo Sayão (TO)",0,0,0,0,0
"611",1703602,"Brasilândia do Tocantins (TO)",0,0,0,0,0
"612",1703800,"Buriti do Tocantins (TO)",0,0,0,0,0
"613",1703826,"Cachoeirinha (TO)",0,0,0,0,0
"614",1703883,"Carmolândia (TO)",0,0,0,0,0
"615",1703891,"Carrasco Bonito (TO)",0,0,0,0,0
"616",1704600,"Chapada de Areia (TO)",0,0,0,0,0
"617",1705508,"Colinas do Tocantins (TO)",0,0,0,0,0
"618",1705557,"Combinado (TO)",0,0,0,0,0
"619",1706258,"Crixás do Tocantins (TO)",0,0,0,0,0
"620",1707108,"Divinópolis do Tocantins (TO)",0,0,0,0,0
"621",1707405,"Esperantina (TO)",0,0,0,0,0
"622",1707553,"Fátima (TO)",0,0,0,0,0
"623",1708254,"Fortaleza do Tabocão (TO)",0,0,0,0,0
"624",1709807,"Ipueiras (TO)",0,0,0,0,0
"625",1711100,"Itaporã do Tocantins (TO)",0,0,0,0,0
"626",1711803,"Juarina (TO)",0,0,0,0,0
"627",1712009,"Lajeado (TO)",0,0,0,0,0
"628",1712157,"Lavandeira (TO)",0,0,0,0,0
"629",1712454,"Luzinópolis (TO)",0,0,0,0,0
"630",1712801,"Maurilândia do Tocantins (TO)",0,0,0,0,0
"631",1713700,"Monte Santo do Tocantins (TO)",0,0,0,0,0
"632",1713957,"Muricilândia (TO)",0,0,0,0,0
"633",1714302,"Nazaré (TO)",0,0,0,0,0
"634",1715002,"Nova Rosalândia (TO)",0,0,0,0,0
"635",1715150,"Novo Alegre (TO)",0,0,0,0,0
"636",1715507,"Oliveira de Fátima (TO)",0,0,0,0,0
"637",1716307,"Pau D'Arco (TO)",0,0,0,0,0
"638",1716653,"Pequizeiro (TO)",0,0,0,0,0
"639",1716703,"Colméia (TO)",0,0,0,0,0
"640",1717206,"Piraquê (TO)",0,0,0,0,0
"641",1718303,"Praia Norte (TO)",0,0,0,0,0
"642",1718402,"Presidente Kennedy (TO)",0,0,0,0,0
"643",1718451,"Pugmil (TO)",0,0,0,0,0
"644",1718550,"Riachinho (TO)",0,0,0,0,0
"645",1718659,"Rio da Conceição (TO)",0,0,0,0,0
"646",1718808,"Sampaio (TO)",0,0,0,0,0
"647",1718840,"Sandolândia (TO)",0,0,0,0,0
"648",1719004,"Santa Tereza do Tocantins (TO)",0,0,0,0,0
"649",1720002,"Santa Terezinha do Tocantins (TO)",0,0,0,0,0
"650",1720200,"São Miguel do Tocantins (TO)",0,0,0,0,0
"651",1720309,"São Sebastião do Tocantins (TO)",0,0,0,0,0
"652",1720937,"Taipas do Tocantins (TO)",0,0,0,0,0
"653",1721109,"Tocantínia (TO)",0,0,0,0,0
"654",1721208,"Tocantinópolis (TO)",0,0,0,0,0
"655",1722081,"Wanderlândia (TO)",0,0,0,0,0
"656",1722107,"Xambioá (TO)",0,0,0,0,0
"657",2100204,"Alcântara (MA)",0,0,0,0,0
"658",2100436,"Alto Alegre do Maranhão (MA)",0,0,0,0,0
"659",2100550,"Amapá do Maranhão (MA)",0,0,0,0,0
"660",2100709,"Anajatuba (MA)",0,0,0,0,0
"661",2100832,"Apicum-Açu (MA)",0,0,0,0,0
"662",2100873,"Araguanã (MA)",0,0,0,0,0
"663",2101103,"Axixá (MA)",0,0,0,0,0
"664",2101251,"Bacabeira (MA)",0,0,0,0,0
"665",2101301,"Bacuri (MA)",0,0,0,0,0
"666",2101350,"Bacurituba (MA)",0,0,0,0,0
"667",2101772,"Bela Vista do Maranhão (MA)",0,0,0,0,0
"668",2101905,"Bequimão (MA)",0,0,0,0,0
"669",2101939,"Bernardo do Mearim (MA)",0,0,0,0,0
"670",2101970,"Boa Vista do Gurupi (MA)",0,0,0,0,0
"671",2102374,"Cachoeira Grande (MA)",0,0,0,0,0
"672",2102408,"Cajapió (MA)",0,0,0,0,0
"673",2102507,"Cajari (MA)",0,0,0,0,0
"674",2102606,"Cândido Mendes (MA)",0,0,0,0,0
"675",2102705,"Cantanhede (MA)",0,0,0,0,0
"676",2102754,"Capinzal do Norte (MA)",0,0,0,0,0
"677",2103109,"Cedral (MA)",0,0,0,0,0
"678",2103125,"Central do Maranhão (MA)",0,0,0,0,0
"679",2103554,"Conceição do Lago-Açu (MA)",0,0,0,0,0
"680",2103703,"Cururupu (MA)",0,0,0,0,0
"681",2103752,"Davinópolis (MA)",0,0,0,0,0
"682",2104305,"Godofredo Viana (MA)",0,0,0,0,0
"683",2104503,"Governador Archer (MA)",0,0,0,0,0
"684",2104909,"Guimarães (MA)",0,0,0,0,0
"685",2105104,"Icatu (MA)",0,0,0,0,0
"686",2105153,"Igarapé do Meio (MA)",0,0,0,0,0
"687",2105203,"Igarapé Grande (MA)",0,0,0,0,0
"688",2105401,"Itapecuru Mirim (MA)",0,0,0,0,0
"689",2105500,"João Lisboa (MA)",0,0,0,0,0
"690",2105906,"Lago Verde (MA)",0,0,0,0,0
"691",2106003,"Lima Campos (MA)",0,0,0,0,0
"692",2106201,"Luís Domingues (MA)",0,0,0,0,0
"693",2106326,"Maracaçumé (MA)",0,0,0,0,0
"694",2106375,"Maranhãozinho (MA)",0,0,0,0,0
"695",2106508,"Matinha (MA)",0,0,0,0,0
"696",2106755,"Miranda do Norte (MA)",0,0,0,0,0
"697",2106805,"Mirinzal (MA)",0,0,0,0,0
"698",2106904,"Monção (MA)",0,0,0,0,0
"699",2107100,"Morros (MA)",0,0,0,0,0
"700",2107407,"Olho d'Água das Cunhãs (MA)",0,0,0,0,0
"701",2107456,"Olinda Nova do Maranhão (MA)",0,0,0,0,0
"702",2107506,"Paço do Lumiar (MA)",0,0,0,0,0
"703",2107605,"Palmeirândia (MA)",0,0,0,0,0
"704",2108207,"Pedreiras (MA)",0,0,0,0,0
"705",2108306,"Penalva (MA)",0,0,0,0,0
"706",2108405,"Peri Mirim (MA)",0,0,0,0,0
"707",2108504,"Pindaré-Mirim (MA)",0,0,0,0,0
"708",2108801,"Pirapemas (MA)",0,0,0,0,0
"709",2109056,"Porto Rico do Maranhão (MA)",0,0,0,0,0
"710",2109205,"Presidente Juscelino (MA)",0,0,0,0,0
"711",2109239,"Presidente Médici (MA)",0,0,0,0,0
"712",2109270,"Presidente Sarney (MA)",0,0,0,0,0
"713",2109304,"Presidente Vargas (MA)",0,0,0,0,0
"714",2109452,"Raposa (MA)",0,0,0,0,0
"715",2109551,"Ribamar Fiquene (MA)",0,0,0,0,0
"716",2109601,"Rosário (MA)",0,0,0,0,0
"717",2109809,"Santa Helena (MA)",0,0,0,0,0
"718",2109908,"Santa Inês (MA)",0,0,0,0,0
"719",2110039,"Santa Luzia do Paruá (MA)",0,0,0,0,0
"720",2110203,"Santa Rita (MA)",0,0,0,0,0
"721",2110500,"São Bento (MA)",0,0,0,0,0
"722",2111003,"São João Batista (MA)",0,0,0,0,0
"723",2111029,"São João do Carú (MA)",0,0,0,0,0
"724",2111201,"São José de Ribamar (MA)",0,0,0,0,0
"725",2111300,"São Luís (MA)",0,0,0,0,0
"726",2111532,"São Pedro da Água Branca (MA)",0,0,0,0,0
"727",2111672,"São Roberto (MA)",0,0,0,0,0
"728",2111706,"São Vicente Ferrer (MA)",0,0,0,0,0
"729",2111789,"Serrano do Maranhão (MA)",0,0,0,0,0
"730",2112233,"Trizidela do Vale (MA)",0,0,0,0,0
"731",2112274,"Tufilândia (MA)",0,0,0,0,0
"732",2112407,"Turiaçu (MA)",0,0,0,0,0
"733",2112803,"Viana (MA)",0,0,0,0,0
"734",2112852,"Vila Nova dos Martírios (MA)",0,0,0,0,0
"735",5100102,"Acorizal (MT)",0,0,0,0,0
"736",5100508,"Alto Paraguai (MT)",0,0,0,0,0
"737",5100805,"Apiacás (MT)",0,0,0,0,0
"738",5101001,"Araguaiana (MT)",0,0,0,0,0
"739",5101209,"Araguainha (MT)",0,0,0,0,0
"740",5101605,"Barão de Melgaço (MT)",0,0,0,0,0
"741",5101704,"Barra do Bugres (MT)",0,0,0,0,0
"742",5103361,"Conquista D'Oeste (MT)",0,0,0,0,0
"743",5103403,"Cuiabá (MT)",0,0,0,0,0
"744",5103437,"Curvelândia (MT)",0,0,0,0,0
"745",5103452,"Denise (MT)",0,0,0,0,0
"746",5103809,"Figueirópolis D'Oeste (MT)",0,0,0,0,0
"747",5103957,"Glória D'Oeste (MT)",0,0,0,0,0
"748",5104500,"Indiavaí (MT)",0,0,0,0,0
"749",5104906,"Jangada (MT)",0,0,0,0,0
"750",5105002,"Jauru (MT)",0,0,0,0,0
"751",5105234,"Lambari D'Oeste (MT)",0,0,0,0,0
"752",5105309,"Luciara (MT)",0,0,0,0,0
"753",5105622,"Mirassol d'Oeste (MT)",0,0,0,0,0
"754",5106208,"Nova Brasilândia (MT)",0,0,0,0,0
"755",5106232,"Nova Olímpia (MT)",0,0,0,0,0
"756",5106273,"Novo Horizonte do Norte (MT)",0,0,0,0,0
"757",5106315,"Novo Santo Antônio (MT)",0,0,0,0,0
"758",5106653,"Pontal do Araguaia (MT)",0,0,0,0,0
"759",5106703,"Ponte Branca (MT)",0,0,0,0,0
"760",5106851,"Porto Estrela (MT)",0,0,0,0,0
"761",5107107,"São José dos Quatro Marcos (MT)",0,0,0,0,0
"762",5107156,"Reserva do Cabaçal (MT)",0,0,0,0,0
"763",5107198,"Ribeirãozinho (MT)",0,0,0,0,0
"764",5107206,"Rio Branco (MT)",0,0,0,0,0
"765",5107263,"Santo Afonso (MT)",0,0,0,0,0
"766",5107297,"São José do Povo (MT)",0,0,0,0,0
"767",5107404,"São Pedro da Cipa (MT)",0,0,0,0,0
"768",5107750,"Salto do Céu (MT)",0,0,0,0,0
"769",5107883,"Serra Nova Dourada (MT)",0,0,0,0,0
"770",5108204,"Torixoréu (MT)",0,0,0,0,0
"771",5108352,"Vale de São Domingos (MT)",0,0,0,0,0
"772",5108402,"Várzea Grande (MT)",0,0,0,0,0
"773",5108857,"Nova Marilândia (MT)",0,0,0,0,0
